DEST_STATE_NM,SUM_OF_ALL_DELAYS,AVERAGE_OF_ALL_DELAYS,SUM_OF_WEATHER_DELAY,AVERAGE_OF_WEATHER_DELAY,SUM_OF_CARRIER_DELAY,AVERAGE_OF_CARRIER_DELAY,SUM_OF_NAS_DELAY,AVERAGE_OF_NAS_DELAY,SUM_OF_SECURITY_DELAY,AVERAGE_OF_SECURITY_DELAY,SUM_OF_LATE_AIRCRAFT_DELAY,AVERAGE_OF_LATE_AIRCRAFT_DELAY
Indiana,869223.0,12.930440474242447,68996.0,1.0263749014474213,297870.0,4.431072698332416,121684.0,1.8101542626779525,1634.0,0.024307156776698452,379039.0,5.638531455007959
South Carolina,790813.0,12.510686431159133,51378.0,0.8128015693471073,254153.0,4.020708421002674,136077.0,2.152742402429957,930.0,0.01471262913100568,348275.0,5.509721409248391
Wisconsin,771805.0,12.69666710534974,65944.0,1.0848193722445219,264869.0,4.357258011449629,116547.0,1.9172698558926105,660.0,0.010857406066986906,323785.0,5.326462459695993
Oregon,720320.0,9.464942709975823,34099.0,0.44805792074003997,253783.0,3.3346867444549564,103532.0,1.3604015557657942,1952.0,0.025649111741826974,326954.0,4.296147377273205
Hawaii,689750.0,5.991209707540368,21557.0,0.18724538987379155,339823.0,2.951722879949968,96276.0,0.8362590877900058,1656.0,0.014384114933942515,230438.0,2.0015982349926604
Oklahoma,552425.0,12.721065720996638,44222.0,1.0183300326993046,187729.0,4.322963201768526,84769.0,1.9520333440795836,274.0,0.006309584120112375,235431.0,5.421429558329112
Alabama,521023.0,13.068701715661684,43842.0,1.099678940503662,182424.0,4.575699809370924,72621.0,1.8215360690277917,930.0,0.023326979030801647,221206.0,5.548459917728504
Puerto Rico,457997.0,15.285928843201388,16971.0,0.5664174621186837,194087.0,6.477771844336159,75880.0,2.5325412188772445,1520.0,0.05073092583939657,169539.0,5.6584673920299045
Nebraska,377100.0,12.067586162757209,27191.0,0.8701398444750232,135391.0,4.332650644820634,55457.0,1.7746807897852732,519.0,0.016608531473007136,158542.0,5.07350635220327
Connecticut,366136.0,12.293455998388342,22413.0,0.7525433972400363,130405.0,4.37850451599906,49147.0,1.6501695598160024,702.0,0.02357049323439546,163469.0,5.488668032098849
Arkansas,365948.0,11.507075026727879,28266.0,0.8888120244009811,119447.0,3.755958744733036,67014.0,2.107225960631407,199.0,0.0062574680837683165,151022.0,4.748820828878687
Iowa,365254.0,12.369331843272715,32977.0,1.1167665684581258,114474.0,3.876663618815402,62403.0,2.113278472010566,297.0,0.010057909174032308,155103.0,5.2525652748145895
