ORIGIN,SUM_OF_ALL_DELAYS,AVERAGE_OF_ALL_DELAYS,SUM_OF_WEATHER_DELAY,AVERAGE_OF_WEATHER_DELAY,SUM_OF_CARRIER_DELAY,AVERAGE_OF_CARRIER_DELAY,SUM_OF_NAS_DELAY,AVERAGE_OF_NAS_DELAY,SUM_OF_SECURITY_DELAY,AVERAGE_OF_SECURITY_DELAY,SUM_OF_LATE_AIRCRAFT_DELAY,AVERAGE_OF_LATE_AIRCRAFT_DELAY
MIA,96563.0,12.22161751677003,1438.0,0.18200227819263384,35147.0,4.4484242500949245,32970.0,4.172889507657259,86.0,0.010884698139476016,26922.0,3.407416782685736
PHL,81836.0,9.00583250797843,3006.0,0.3308022449653351,22651.0,2.4926818531968746,30011.0,3.3026301309563113,198.0,0.021789369428854406,25970.0,2.857928909431055
IAD,78196.0,14.93144930303609,9537.0,1.8210807714340271,24757.0,4.7273248042772575,23565.0,4.499713576475081,42.0,0.008019858697727707,20295.0,3.8753102921519953
MDW,76112.0,11.873946957878315,4766.0,0.7435257410296412,32102.0,5.00811232449298,16665.0,2.5998439937597504,201.0,0.03135725429017161,22378.0,3.4911076443057723
SEA,74950.0,7.3264907135874875,1945.0,0.19012707722385142,21532.0,2.104789833822092,33274.0,3.2525904203323557,17.0,0.0016617790811339198,18182.0,1.7773216031280548
RDU,70298.0,14.74061648144265,2284.0,0.4789263996644999,15898.0,3.3336129167540367,26146.0,5.482491088278465,13.0,0.002725938351855735,25957.0,5.442860138393793
BWI,69866.0,8.989449305198146,4374.0,0.5627895007720021,26320.0,3.386515697375193,19488.0,2.5074626865671643,170.0,0.021873391662377766,19514.0,2.51080802882141
BNA,69019.0,11.117751288659793,2091.0,0.33682345360824745,19581.0,3.1541559278350517,22076.0,3.556056701030928,24.0,0.003865979381443299,25247.0,4.066849226804123
SAN,65158.0,8.695849459495529,1104.0,0.14733751501401307,14833.0,1.979580942212732,21984.0,2.933938342452956,119.0,0.015881489390097425,27118.0,3.6191111704257306
TPA,63669.0,9.608964684575913,623.0,0.09402354361605796,18020.0,2.719589495925143,18892.0,2.8511922728644734,93.0,0.014035617265318443,26041.0,3.93012375490492
STL,63131.0,11.80239297064872,3311.0,0.6189942045242102,19204.0,3.590203776406805,19534.0,3.651897550944102,53.0,0.00990839409235371,21029.0,3.9313890446812487
CLE,61636.0,15.796002050230651,4779.0,1.2247565351101999,16128.0,4.133264992311635,21109.0,5.409789851358278,4.0,0.0010251153254741158,19616.0,5.027165556125064
CVG,57751.0,15.562112638102937,3317.0,0.8938291565615737,15648.0,4.216653193209377,23367.0,6.296685529506871,131.0,0.03530045809754783,15288.0,4.1196443007275665
PIT,55856.0,14.069521410579345,1579.0,0.3977329974811083,10705.0,2.6964735516372795,24290.0,6.1183879093199,402.0,0.10125944584382872,18880.0,4.755667506297229
RSW,54574.0,14.27517656290871,1114.0,0.2913941930421135,14179.0,3.7088673816374573,16190.0,4.2348940622547735,0.0,0.0,23091.0,6.040020925974366
CMH,50739.0,13.724371111712198,1753.0,0.4741682445225859,12552.0,3.395185285366513,21392.0,5.786313226940763,16.0,0.004327833378414931,15026.0,4.064376521503922
IND,47882.0,12.382208430307733,1223.0,0.31626583915179723,16335.0,4.224204809930178,16443.0,4.252133436772692,0.0,0.0,13881.0,3.5896043444530643
MCI,46198.0,10.36294302377748,1741.0,0.3905338716913414,10692.0,2.398384925975774,16677.0,3.7409152086137283,28.0,0.006280843427545985,17060.0,3.8268281740690893
PBI,41647.0,16.915922014622257,225.0,0.09138911454102355,6793.0,2.7591389114541025,16138.0,6.554833468724614,0.0,0.0,18491.0,7.510560519902518
AUS,40684.0,8.223974125732767,679.0,0.13725490196078433,12886.0,2.604810996563574,12265.0,2.4792803719425915,33.0,0.0066707095209217705,14821.0,2.995957145744896
PDX,39899.0,8.369834277323264,2594.0,0.5441577512062094,12765.0,2.6777847702957835,12762.0,2.6771554436752676,1.0,2.0977554017201594E-4,11777.0,2.4705265366058318
MKE,39553.0,15.852905811623247,5395.0,2.162324649298597,10090.0,4.044088176352705,10897.0,4.36753507014028,6.0,0.002404809619238477,13165.0,5.2765531062124245
MSY,38821.0,8.444855340439418,395.0,0.08592560365455731,6823.0,1.484228844898847,15208.0,3.308244507287361,49.0,0.010659125516641287,16346.0,3.55579725908201
