DEST,SUM_OF_ALL_DELAYS,AVERAGE_OF_ALL_DELAYS,SUM_OF_WEATHER_DELAY,AVERAGE_OF_WEATHER_DELAY,SUM_OF_CARRIER_DELAY,AVERAGE_OF_CARRIER_DELAY,SUM_OF_NAS_DELAY,AVERAGE_OF_NAS_DELAY,SUM_OF_SECURITY_DELAY,AVERAGE_OF_SECURITY_DELAY,SUM_OF_LATE_AIRCRAFT_DELAY,AVERAGE_OF_LATE_AIRCRAFT_DELAY
PIE,5835.0,10.647810218978103,105.0,0.19160583941605838,2487.0,4.538321167883212,1797.0,3.2791970802919708,14.0,0.025547445255474453,1432.0,2.613138686131387
CAE,5800.0,9.294871794871796,58.0,0.09294871794871795,2060.0,3.301282051282051,842.0,1.3493589743589745,0.0,0.0,2840.0,4.551282051282051
BZN,5722.0,9.882556131260795,490.0,0.846286701208981,1884.0,3.2538860103626943,1009.0,1.7426597582037997,0.0,0.0,2339.0,4.039723661485319
JAN,5705.0,8.683409436834093,335.0,0.5098934550989346,1868.0,2.843226788432268,978.0,1.4885844748858448,0.0,0.0,2524.0,3.841704718417047
MHT,5693.0,9.256910569105692,437.0,0.7105691056910569,1564.0,2.543089430894309,757.0,1.2308943089430895,0.0,0.0,2935.0,4.772357723577236
KOA,5687.0,4.755016722408027,234.0,0.1956521739130435,2367.0,1.9790969899665551,1235.0,1.0326086956521738,12.0,0.010033444816053512,1839.0,1.5376254180602007
SHV,5659.0,10.967054263565892,92.0,0.17829457364341086,2534.0,4.910852713178294,693.0,1.3430232558139534,0.0,0.0,2340.0,4.534883720930233
FAR,5618.0,12.944700460829493,732.0,1.6866359447004609,2466.0,5.682027649769585,1138.0,2.622119815668203,0.0,0.0,1282.0,2.953917050691244
BIS,5528.0,19.06206896551724,1246.0,4.296551724137931,2126.0,7.3310344827586205,986.0,3.4,0.0,0.0,1170.0,4.0344827586206895
MAF,5387.0,7.461218836565097,269.0,0.37257617728531855,2415.0,3.344875346260388,776.0,1.074792243767313,69.0,0.09556786703601108,1858.0,2.5734072022160666
ECP,5356.0,11.875831485587582,56.0,0.12416851441241686,2990.0,6.629711751662971,453.0,1.0044345898004434,0.0,0.0,1857.0,4.117516629711751
EUG,5335.0,17.15434083601286,103.0,0.3311897106109325,1475.0,4.742765273311897,410.0,1.3183279742765273,0.0,0.0,3347.0,10.762057877813504
VPS,5224.0,10.574898785425102,1630.0,3.299595141700405,1390.0,2.8137651821862346,737.0,1.491902834008097,85.0,0.1720647773279352,1382.0,2.7975708502024292
EYW,5112.0,9.50185873605948,200.0,0.37174721189591076,2473.0,4.596654275092937,1116.0,2.074349442379182,1.0,0.0018587360594795538,1322.0,2.45724907063197
EVV,4877.0,14.095375722543352,1475.0,4.263005780346821,1180.0,3.4104046242774566,456.0,1.3179190751445087,0.0,0.0,1766.0,5.104046242774566
STT,4855.0,13.911174785100286,12.0,0.034383954154727794,2020.0,5.787965616045845,1037.0,2.9713467048710602,0.0,0.0,1786.0,5.117478510028653
RST,4755.0,15.488599348534201,947.0,3.0846905537459284,1103.0,3.592833876221498,960.0,3.1270358306188926,0.0,0.0,1745.0,5.684039087947883
PIA,4453.0,12.133514986376023,911.0,2.482288828337875,1544.0,4.20708446866485,785.0,2.138964577656676,0.0,0.0,1213.0,3.3051771117166213
ROW,4415.0,40.5045871559633,0.0,0.0,3419.0,31.36697247706422,163.0,1.4954128440366972,0.0,0.0,833.0,7.6422018348623855
MRY,4406.0,12.07123287671233,0.0,0.0,1642.0,4.498630136986302,614.0,1.6821917808219178,0.0,0.0,2150.0,5.890410958904109
RAP,4361.0,16.27238805970149,1173.0,4.376865671641791,881.0,3.287313432835821,873.0,3.2574626865671643,0.0,0.0,1434.0,5.350746268656716
