TAIL_NUM,SUM_OF_ALL_DELAYS,AVERAGE_OF_ALL_DELAYS,MIN_OF_ALL_DELAYS,MAX_OF_ALL_DELAYS,SUM_OF_WEATHER_DELAY,AVERAGE_OF_WEATHER_DELAY,MIN_OF_WEATHER_DELAY,MAX_OF_WEATHER_DELAY,SUM_OF_CARRIER_DELAY,AVERAGE_OF_CARRIER_DELAY,MIN_OF_CARRIER_DELAY,MAX_OF_CARRIER_DELAY,SUM_OF_NAS_DELAY,AVERAGE_OF_NAS_DELAY,MIN_OF_NAS_DELAY,MAX_OF_NAS_DELAY,SUM_OF_SECURITY_DELAY,AVERAGE_OF_SECURITY_DELAY,MIN_OF_SECURITY_DELAY,MAX_OF_SECURITY_DELAY,SUM_OF_LATE_AIRCRAFT_DELAY,AVERAGE_OF_LATE_AIRCRAFT_DELAY,MIN_OF_LATE_AIRCRAFT_DELAY,MAX_OF_LATE_AIRCRAFT_DELAY
306NV,14841.0,13.467332123411978,0.0,486.0,465.0,0.4219600725952813,0.0,136.0,5251.0,4.76497277676951,0.0,437.0,2673.0,2.4255898366606172,0.0,440.0,0.0,0.0,0.0,0.0,6452.0,5.85480943738657,0.0,440.0
N126AN,14838.0,15.684989429175475,0.0,1295.0,815.0,0.861522198731501,0.0,224.0,7272.0,7.687103594080338,0.0,1292.0,2543.0,2.6881606765327697,0.0,197.0,0.0,0.0,0.0,0.0,4208.0,4.4482029598308666,0.0,387.0
N68807,14838.0,12.671221178479932,0.0,866.0,1143.0,0.9760888129803587,0.0,211.0,1829.0,1.5619128949615713,0.0,437.0,4513.0,3.8539709649871905,0.0,241.0,0.0,0.0,0.0,0.0,7353.0,6.279248505550811,0.0,836.0
N944NN,14838.0,12.004854368932039,0.0,786.0,849.0,0.6868932038834952,0.0,313.0,3961.0,3.204692556634304,0.0,457.0,3969.0,3.2111650485436893,0.0,409.0,0.0,0.0,0.0,0.0,6059.0,4.90210355987055,0.0,786.0
N803NN,14837.0,16.802944507361268,0.0,603.0,987.0,1.1177802944507362,0.0,311.0,5133.0,5.813137032842582,0.0,603.0,2825.0,3.1993204983012458,0.0,148.0,16.0,0.01812004530011325,0.0,9.0,5876.0,6.6545866364665915,0.0,519.0
N377NW,14824.0,10.550889679715302,0.0,643.0,897.0,0.6384341637010676,0.0,349.0,5197.0,3.698932384341637,0.0,643.0,4380.0,3.117437722419929,0.0,397.0,42.0,0.0298932384341637,0.0,42.0,4308.0,3.066192170818505,0.0,377.0
N326DN,14822.0,10.152054794520549,0.0,911.0,1347.0,0.9226027397260274,0.0,768.0,5189.0,3.554109589041096,0.0,911.0,4164.0,2.852054794520548,0.0,287.0,0.0,0.0,0.0,0.0,4122.0,2.8232876712328765,0.0,248.0
N868NN,14818.0,11.873397435897436,0.0,689.0,457.0,0.3661858974358974,0.0,141.0,3435.0,2.7524038461538463,0.0,165.0,4042.0,3.238782051282051,0.0,289.0,0.0,0.0,0.0,0.0,6884.0,5.516025641025641,0.0,689.0
N215WN,14815.0,8.379524886877828,0.0,229.0,92.0,0.05203619909502263,0.0,63.0,5121.0,2.896493212669683,0.0,178.0,2938.0,1.661764705882353,0.0,217.0,0.0,0.0,0.0,0.0,6664.0,3.769230769230769,0.0,203.0
N34460,14815.0,12.950174825174825,0.0,677.0,828.0,0.7237762237762237,0.0,206.0,3937.0,3.4414335664335662,0.0,659.0,4444.0,3.8846153846153846,0.0,227.0,0.0,0.0,0.0,0.0,5606.0,4.90034965034965,0.0,208.0
N524VA,14810.0,12.844752818733738,0.0,295.0,111.0,0.09627059843885516,0.0,55.0,5263.0,4.564614050303556,0.0,244.0,4492.0,3.8959236773634,0.0,295.0,0.0,0.0,0.0,0.0,4944.0,4.287944492627927,0.0,259.0
N56859,14810.0,17.56820877817319,0.0,469.0,714.0,0.8469750889679716,0.0,469.0,2510.0,2.977461447212337,0.0,298.0,3685.0,4.371293001186239,0.0,252.0,0.0,0.0,0.0,0.0,7901.0,9.372479240806642,0.0,351.0
N936AT,14809.0,9.390615091946735,0.0,956.0,1486.0,0.9422954977805961,0.0,434.0,5075.0,3.218135700697527,0.0,956.0,4268.0,2.706404565630945,0.0,322.0,0.0,0.0,0.0,0.0,3980.0,2.5237793278376666,0.0,332.0
N765US,14808.0,12.443697478991597,0.0,376.0,129.0,0.10840336134453782,0.0,34.0,5372.0,4.514285714285714,0.0,370.0,2699.0,2.2680672268907562,0.0,376.0,0.0,0.0,0.0,0.0,6608.0,5.552941176470588,0.0,329.0
N69806,14808.0,12.787564766839377,0.0,573.0,611.0,0.5276338514680483,0.0,183.0,3322.0,2.8687392055267704,0.0,473.0,5048.0,4.3592400690846285,0.0,217.0,0.0,0.0,0.0,0.0,5827.0,5.031951640759931,0.0,373.0
248NV,14804.0,9.975741239892184,0.0,459.0,1647.0,1.1098382749326146,0.0,305.0,3980.0,2.6819407008086253,0.0,459.0,2460.0,1.6576819407008085,0.0,69.0,10.0,0.006738544474393531,0.0,10.0,6707.0,4.519541778975741,0.0,303.0
N274WN,14801.0,7.769553805774279,0.0,418.0,557.0,0.29238845144356956,0.0,118.0,5744.0,3.015223097112861,0.0,418.0,1819.0,0.9548556430446195,0.0,130.0,0.0,0.0,0.0,0.0,6681.0,3.5070866141732284,0.0,204.0
N340NB,14798.0,15.430656934306569,0.0,902.0,1804.0,1.881126173096976,0.0,894.0,4441.0,4.630865484880084,0.0,884.0,4506.0,4.698644421272158,0.0,566.0,0.0,0.0,0.0,0.0,4047.0,4.220020855057351,0.0,312.0
N941WN,14797.0,7.100287907869482,0.0,371.0,484.0,0.23224568138195778,0.0,187.0,4816.0,2.3109404990403073,0.0,243.0,2504.0,1.2015355086372361,0.0,300.0,0.0,0.0,0.0,0.0,6993.0,3.355566218809981,0.0,264.0
N844NN,14795.0,15.005070993914808,0.0,598.0,938.0,0.9513184584178499,0.0,197.0,4471.0,4.5344827586206895,0.0,581.0,3424.0,3.4726166328600407,0.0,170.0,10.0,0.010141987829614604,0.0,10.0,5952.0,6.036511156186613,0.0,166.0
N33286,14794.0,15.738297872340425,0.0,992.0,469.0,0.498936170212766,0.0,140.0,3532.0,3.7574468085106383,0.0,319.0,4420.0,4.702127659574468,0.0,246.0,0.0,0.0,0.0,0.0,6373.0,6.779787234042553,0.0,673.0
N78511,14792.0,14.060836501901141,0.0,833.0,1158.0,1.1007604562737643,0.0,683.0,3376.0,3.209125475285171,0.0,524.0,4758.0,4.522813688212928,0.0,421.0,0.0,0.0,0.0,0.0,5500.0,5.228136882129277,0.0,309.0
N920NN,14787.0,12.903141361256544,0.0,453.0,623.0,0.543630017452007,0.0,151.0,3863.0,3.3708551483420592,0.0,453.0,4356.0,3.8010471204188483,0.0,344.0,26.0,0.02268760907504363,0.0,26.0,5919.0,5.164921465968586,0.0,433.0
N842VA,14786.0,13.154804270462634,0.0,328.0,307.0,0.27313167259786475,0.0,282.0,4046.0,3.599644128113879,0.0,305.0,5062.0,4.50355871886121,0.0,228.0,11.0,0.009786476868327402,0.0,11.0,5360.0,4.7686832740213525,0.0,280.0
N972AT,14778.0,8.483352468427094,0.0,524.0,821.0,0.47129735935706085,0.0,121.0,3405.0,1.9546498277841562,0.0,524.0,5632.0,3.2330654420206657,0.0,456.0,0.0,0.0,0.0,0.0,4920.0,2.8243398392652126,0.0,388.0
N108UW,14775.0,10.22491349480969,0.0,357.0,739.0,0.5114186851211072,0.0,116.0,5214.0,3.6083044982698964,0.0,357.0,2905.0,2.01038062283737,0.0,164.0,0.0,0.0,0.0,0.0,5917.0,4.094809688581315,0.0,279.0
