ORIGIN_STATE_NM,SUM_OF_ALL_DELAYS,AVERAGE_OF_ALL_DELAYS,SUM_OF_WEATHER_DELAY,AVERAGE_OF_WEATHER_DELAY,SUM_OF_CARRIER_DELAY,AVERAGE_OF_CARRIER_DELAY,SUM_OF_NAS_DELAY,AVERAGE_OF_NAS_DELAY,SUM_OF_SECURITY_DELAY,AVERAGE_OF_SECURITY_DELAY,SUM_OF_LATE_AIRCRAFT_DELAY,AVERAGE_OF_LATE_AIRCRAFT_DELAY
Massachusetts,227836.0,19.772281523908703,18125.0,1.5729410743729932,67181.0,5.8301657554456305,53508.0,4.643582400416558,195.0,0.016922676386357718,88827.0,7.708669617287165
New Jersey,211446.0,19.180515239477504,4071.0,0.36928519593613934,55616.0,5.044992743105951,47337.0,4.293994920174166,110.0,0.00997822931785196,104312.0,9.462264150943396
Pennsylvania,158730.0,11.039783001808319,6560.0,0.45625260815134233,40407.0,2.8103352343858674,59811.0,4.159897064960356,605.0,0.042078174989567396,51347.0,3.571219919321185
Minnesota,153451.0,11.88713300797893,33530.0,2.5974126578356187,47687.0,3.6940893949957396,39250.0,3.0405143698195056,66.0,0.005112712061352545,32918.0,2.550003873266713
Nevada,146473.0,9.88880637321091,3140.0,0.21199027815284904,44636.0,3.0135025654874426,42385.0,2.861531190926276,104.0,0.0070213340534701595,56208.0,3.7947610045908724
Arizona,137348.0,7.94791968057404,3564.0,0.20623806492679822,52200.0,3.0206585267056303,35516.0,2.055205138591517,198.0,0.011457670273711012,45870.0,2.6543602800763844
Ohio,136893.0,14.536795157693533,8299.0,0.8812785388127854,37351.0,3.966337474779654,49934.0,5.3025379632579375,41.0,0.004353828183073166,41268.0,4.382287352660083
Missouri,126149.0,11.678300314756527,5629.0,0.5211072023699315,34930.0,3.2336604332531014,40886.0,3.785039807443066,101.0,0.009350120348083689,44603.0,4.129142751342344
Tennessee,113002.0,10.831208664813571,4289.0,0.41109939614684177,33649.0,3.2252468129972205,34063.0,3.2649285919677946,53.0,0.005080034505894757,40948.0,3.924853829195821
Utah,104388.0,10.59453973409114,12150.0,1.2331269664061708,34383.0,3.489597077032376,27331.0,2.7738759768598396,65.0,0.006596975540444534,30459.0,3.091342738252309
Kentucky,102128.0,15.97747183979975,6960.0,1.0888610763454318,28766.0,4.500312891113892,36208.0,5.664580725907384,160.0,0.025031289111389236,30034.0,4.698685857321652
Washington,89445.0,7.7825632993996345,2313.0,0.20125293657008614,26979.0,2.3474288697468024,37046.0,3.2233533455146612,51.0,0.004437483685721744,23056.0,2.0060906638823632
Wisconsin,78682.0,16.610090774751953,9598.0,2.0261769052142706,21227.0,4.481106185349377,19979.0,4.217648300612201,6.0,0.001266624445851805,27872.0,5.8838927591302514
Indiana,74959.0,13.974459358687547,3126.0,0.5827740492170023,26636.0,4.965697240865026,22738.0,4.239000745712155,0.0,0.0,22459.0,4.186987322893363
Oregon,70792.0,12.354624781849912,5808.0,1.013612565445026,18676.0,3.2593368237347295,21984.0,3.836649214659686,33.0,0.005759162303664921,24291.0,4.239267015706806
Maryland,70209.0,9.021973785659213,4381.0,0.5629658185556412,26337.0,3.384348496530455,19503.0,2.5061680801850423,170.0,0.021845283988691854,19818.0,2.546646106399383
Louisiana,62240.0,9.14756025867137,3151.0,0.46310993533215755,13712.0,2.0152851263962375,20117.0,2.9566431510875955,73.0,0.010728982951205173,25187.0,3.701793062904174
Hawaii,57486.0,6.504412763068568,1347.0,0.1524100475220638,26054.0,2.9479520253451006,4699.0,0.5316813758768952,1231.0,0.13928490608735009,24155.0,2.7330844082371577
Puerto Rico,39061.0,15.20474892954457,15.0,0.0058388478007006615,15224.0,5.926041261191125,4780.0,1.8606461658232776,63.0,0.02452316076294278,18979.0,7.387699493966524
Iowa,38551.0,16.474786324786326,3110.0,1.329059829059829,13838.0,5.913675213675214,9614.0,4.108547008547008,0.0,0.0,11989.0,5.123504273504273
Oklahoma,38178.0,11.040485829959515,5461.0,1.5792365529207635,9560.0,2.7646038172353964,7675.0,2.219491035280509,64.0,0.01850780798149219,15418.0,4.458646616541353
South Carolina,37775.0,9.03491987562784,752.0,0.17986127720640996,10202.0,2.440086103802918,12736.0,3.0461612054532408,4.0,9.567089213106913E-4,14081.0,3.367854580243961
Nebraska,33496.0,13.847044233154197,1577.0,0.6519222819346837,10417.0,4.306324927656056,10383.0,4.29226953286482,0.0,0.0,11119.0,4.5965274906986355
North Dakota,32435.0,26.305758313057584,7390.0,5.993511759935117,12362.0,10.025952960259529,2943.0,2.386861313868613,117.0,0.0948905109489051,9623.0,7.804541768045418
Alabama,30148.0,10.109993293091884,593.0,0.198859825620389,9506.0,3.187793427230047,5846.0,1.960429242119383,4.0,0.0013413816230717639,14199.0,4.761569416498994
Connecticut,26807.0,10.901586010573403,1518.0,0.6173241154941033,7918.0,3.220008133387556,5736.0,2.332655551037007,0.0,0.0,11635.0,4.731598210654738
Arkansas,25287.0,10.82028241335045,283.0,0.1210954214805306,8464.0,3.621737270004279,7478.0,3.199828840393667,42.0,0.01797175866495507,9020.0,3.8596491228070176
Wyoming,23158.0,30.877333333333333,1597.0,2.1293333333333333,5566.0,7.421333333333333,4689.0,6.252,1.0,0.0013333333333333333,11305.0,15.073333333333334
Kansas,20158.0,16.06215139442231,1033.0,0.8231075697211155,6139.0,4.891633466135458,4847.0,3.8621513944223107,0.0,0.0,8139.0,6.485258964143426
Vermont,20128.0,28.07252440725244,2980.0,4.156206415620642,3946.0,5.503486750348675,5656.0,7.888423988842399,0.0,0.0,7546.0,10.524407252440724
