ORIGIN_STATE_NM,SUM_OF_ALL_DELAYS,AVERAGE_OF_ALL_DELAYS,SUM_OF_WEATHER_DELAY,AVERAGE_OF_WEATHER_DELAY,SUM_OF_CARRIER_DELAY,AVERAGE_OF_CARRIER_DELAY,SUM_OF_NAS_DELAY,AVERAGE_OF_NAS_DELAY,SUM_OF_SECURITY_DELAY,AVERAGE_OF_SECURITY_DELAY,SUM_OF_LATE_AIRCRAFT_DELAY,AVERAGE_OF_LATE_AIRCRAFT_DELAY
Pennsylvania,2522156.0,13.376518819841847,92450.0,0.49031826932766204,712274.0,3.7776198482108287,706235.0,3.745591378459939,2769.0,0.014685681857958854,1008428.0,5.348303641985457
Arizona,2104235.0,10.26466111864506,41176.0,0.20086049619996293,784914.0,3.8288861354744923,398497.0,1.9439067698221446,4420.0,0.02156118596278988,875228.0,4.26944653118567
Minnesota,2031864.0,11.911152797725475,268240.0,1.5724712020400387,607552.0,3.561579271331008,559491.0,3.2798370313919745,3407.0,0.01997244775331946,593174.0,3.477292845209133
Nevada,2025433.0,10.965000703775484,54157.0,0.2931874533072034,681249.0,3.6880488095366992,435925.0,2.359948678526186,1832.0,0.009917820678006475,852270.0,4.61389794172739
Tennessee,1722717.0,12.448726379304116,63874.0,0.4615673664053185,480544.0,3.472515084727391,453579.0,3.2776601510279293,1173.0,0.008476352205802652,723547.0,5.228507424937674
Missouri,1624561.0,11.865557941481514,80164.0,0.5855062301882934,457643.0,3.3425581021663233,427474.0,3.122208101435938,1225.0,0.008947222343953138,658055.0,4.806338285347006
Washington,1621667.0,10.050616671831422,83193.0,0.5156058258444376,520470.0,3.225720483421134,481289.0,2.9828881313913853,2068.0,0.012816857762627828,534647.0,3.3135853734118377
Ohio,1536647.0,12.721219596999852,54499.0,0.45117307151017433,428622.0,3.5483716078613177,489120.0,4.049207742106396,774.0,0.006407603026640396,563632.0,4.666059572495323
Kentucky,1147044.0,13.797199769053117,55426.0,0.6666907236335643,326966.0,3.9329051193225557,344838.0,4.14787817551963,649.0,0.007806485758275597,419165.0,5.041919264819092
Maryland,1141108.0,10.884799923689608,55091.0,0.525501979300806,410561.0,3.9162588830066296,265209.0,2.5297753612820144,4627.0,0.04413602327466972,405620.0,3.869127676825488
