DEST_CITY_NAME,SUM_OF_ALL_DELAYS,AVERAGE_OF_ALL_DELAYS,SUM_OF_WEATHER_DELAY,AVERAGE_OF_WEATHER_DELAY,SUM_OF_CARRIER_DELAY,AVERAGE_OF_CARRIER_DELAY,SUM_OF_NAS_DELAY,AVERAGE_OF_NAS_DELAY,SUM_OF_SECURITY_DELAY,AVERAGE_OF_SECURITY_DELAY,SUM_OF_LATE_AIRCRAFT_DELAY,AVERAGE_OF_LATE_AIRCRAFT_DELAY
"Mission/McAllen/Edinburg, TX",74649.0,13.342091152815014,5306.0,0.9483467381590706,27068.0,4.8378909740840035,10991.0,1.9644325290437892,0.0,0.0,31284.0,5.59142091152815
"Green Bay, WI",73861.0,14.286460348162477,9911.0,1.9170212765957446,28879.0,5.585880077369439,11001.0,2.127852998065764,120.0,0.02321083172147002,23950.0,4.632495164410058
"Islip, NY",73597.0,13.234490199604387,1550.0,0.27872684768926453,23663.0,4.255169933465204,10171.0,1.8289875921596834,49.0,0.008811364862434813,38164.0,6.862794461427801
"Jackson, WY",71728.0,15.644056706652126,8911.0,1.9435114503816795,22046.0,4.808287895310796,11515.0,2.5114503816793894,0.0,0.0,29256.0,6.380806979280262
"Harrisburg, PA",71562.0,11.375298044825941,6503.0,1.0336989349864887,27556.0,4.380225719281513,12796.0,2.034016849467493,28.0,0.004450802734064537,24679.0,3.9229057383563823
"Panama City, FL",71343.0,10.835814094775213,5047.0,0.7665552855407047,28446.0,4.320473876063184,8680.0,1.3183475091130012,15.0,0.002278250303766707,29155.0,4.4281591737545565
"Amarillo, TX",70957.0,13.622000383950855,4980.0,0.9560376271837204,21732.0,4.172009982722211,9125.0,1.7517757727010943,81.0,0.015550009598771357,35039.0,6.726626991745056
"Rapid City, SD",69048.0,13.697282285260862,9146.0,1.8143225550486015,25456.0,5.049791707994445,10555.0,2.0938305891688156,110.0,0.021821067248561792,23781.0,4.717516365800436
"Corpus Christi, TX",68815.0,11.669492962523316,4428.0,0.7508902831948449,23921.0,4.056469391215873,9927.0,1.6833983381380362,73.0,0.0123791758521282,30466.0,5.166355774122435
"Lafayette, LA",68190.0,13.04073436603557,5875.0,1.1235417861923886,23619.0,4.516924842226047,11436.0,2.187033849684452,0.0,0.0,27260.0,5.213233887932683
"Lihue, HI",68051.0,4.838666097838453,2195.0,0.15607224118316268,32645.0,2.321174630261661,10089.0,0.7173634812286689,118.0,0.008390216154721275,23004.0,1.6356655290102389
"Charleston/Dunbar, WV",67458.0,14.98400710795202,6981.0,1.5506441581519326,20718.0,4.601954686805864,7293.0,1.61994669035984,48.0,0.010661928031985785,32418.0,7.200799644602399
"Eugene, OR",63781.0,12.21624209921471,4240.0,0.8121049607354913,22935.0,4.392836621336909,7563.0,1.4485730702930473,140.0,0.02681478643937943,28903.0,5.535912660409883
"Moline, IL",62916.0,13.02069536423841,6350.0,1.3141556291390728,20885.0,4.322226821192053,8473.0,1.7535182119205297,0.0,0.0,27208.0,5.630794701986755
"Gulfport/Biloxi, MS",62861.0,13.752133012469919,10592.0,2.317217239116167,19982.0,4.371472325530519,8475.0,1.8540800700065632,87.0,0.01903303434697003,23725.0,5.1903303434697
"Tallahassee, FL",62701.0,9.536273764258555,4464.0,0.67893536121673,19583.0,2.978403041825095,9069.0,1.3793155893536122,81.0,0.012319391634980989,29504.0,4.487300380228137
"Monterey, CA",61888.0,14.395906024656897,1381.0,0.32123749709234706,27612.0,6.422889043963712,5718.0,1.3300767620376832,53.0,0.012328448476389859,27124.0,6.309374273086765
"Duluth, MN",61326.0,18.154529307282417,22461.0,6.649200710479573,16045.0,4.749851983422143,4600.0,1.3617525162818236,187.0,0.05535820011841326,18033.0,5.338365896980462
"Peoria, IL",60987.0,13.023062139654067,6280.0,1.3410207132180227,21823.0,4.660046978432629,8789.0,1.876788383514841,55.0,0.01174460815716421,24040.0,5.133461456331411
"Bismarck/Mandan, ND",59077.0,13.887400094029148,9269.0,2.1788904560413727,22280.0,5.237423601316408,6961.0,1.6363422661024918,62.0,0.01457451810061119,20505.0,4.820169252468265
"Traverse City, MI",58941.0,13.602815601200092,4700.0,1.0846988229863836,24899.0,5.746365105008078,7783.0,1.7962150934687284,57.0,0.013154858066005077,21502.0,4.962381721670898
"Allentown/Bethlehem/Easton, PA",58242.0,11.620510774142058,5585.0,1.1143256185155626,22482.0,4.485634477254589,8038.0,1.6037509976057462,50.0,0.009976057462090982,22087.0,4.40682362330407
"Medford, OR",58240.0,14.323659616330547,2619.0,0.6441219872110182,21235.0,5.222577471716675,5073.0,1.2476635514018692,0.0,0.0,29313.0,7.209296606000984
"Bangor, ME",57833.0,15.324059353471117,2736.0,0.724960254372019,19769.0,5.238208797032327,9024.0,2.3910969793322736,25.0,0.006624271330153683,26279.0,6.963169051404345
"Appleton, WI",56331.0,12.99446366782007,8300.0,1.9146482122260668,22813.0,5.262514417531719,8173.0,1.8853517877739332,28.0,0.006459054209919262,17017.0,3.925490196078431
"Bend/Redmond, OR",55938.0,14.01954887218045,3403.0,0.8528822055137845,23244.0,5.825563909774436,5512.0,1.381453634085213,157.0,0.0393483709273183,23622.0,5.920300751879699
"Eagle, CO",52400.0,22.402736212056436,9343.0,3.9944420692603675,17653.0,7.547242411286875,11440.0,4.890979050876443,0.0,0.0,13964.0,5.970072680632749
"Gainesville, FL",51849.0,9.96712802768166,4015.0,0.7718185313341023,18427.0,3.5422914263744714,7932.0,1.52479815455594,26.0,0.004998077662437524,21449.0,4.12322183775471
"Durango, CO",51540.0,15.897594077729796,3510.0,1.08266502159161,16756.0,5.16841455891425,5898.0,1.8192473781616285,21.0,0.006477483035163479,25355.0,7.820789636027143
"Billings, MT",51279.0,12.60855667568232,6719.0,1.6520776985492993,21026.0,5.169904106220802,6188.0,1.5215146299483648,90.0,0.022129333661175313,17256.0,4.24293090730268
"Trenton, NJ",50958.0,16.91271158313973,408.0,0.13541320942582144,10779.0,3.5774975107865914,8498.0,2.8204447394623298,0.0,0.0,31273.0,10.379356123464985
"Lansing, MI",49420.0,15.034986309704898,3762.0,1.1445086705202312,23432.0,7.128688773958016,5464.0,1.6623060541527228,57.0,0.017341040462427744,16705.0,5.0821417706115
"Augusta, GA",47590.0,9.981124161073826,5821.0,1.2208473154362416,15182.0,3.1841442953020134,7100.0,1.4890939597315436,134.0,0.028104026845637585,19353.0,4.058934563758389
