ROUTE_PATH,YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_NM,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_NM,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,DISTANCE,DISTANCE_GROUP,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,_c45,ORIGIN_LATITUDE,ORIGIN_LONGITUDE,ORIGIN_UTC_LOCAL_TIME_VARIATION,DEST_LATITUDE,DEST_LONGITUDE,DEST_UTC_LOCAL_TIME_VARIATION,WHEELS_OFF_UTC_DATETIME,WHEELS_ON_UTC_DATETIME
1393007->1169706,2019,1,3,8,5,2019-03-08T00:00:00.000Z,AA,19805,N917AN,156,13930,1393007,ORD,"Chicago, IL",IL,Illinois,11697,1169706,FLL,"Fort Lauderdale, FL",FL,Florida,1010,1015,5.0,47.0,1102,1428,7.0,1421,1435,14.0,0.0,"",0.0,191.0,200.0,146.0,1182.0,5,"","","","","","",41.97444444,-87.90666667,-600,26.07166667,-80.14972222,-500,2019-03-08T17:02:00.000Z,2019-03-08T19:28:00.000Z
1393007->1169706,2019,1,3,8,5,2019-03-08T00:00:00.000Z,AA,19805,N932AN,1136,13930,1393007,ORD,"Chicago, IL",IL,Illinois,11697,1169706,FLL,"Fort Lauderdale, FL",FL,Florida,1217,1307,50.0,16.0,1323,1647,4.0,1616,1651,35.0,0.0,"",0.0,179.0,164.0,144.0,1182.0,5,2.0,0.0,0.0,0.0,33.0,"",41.97444444,-87.90666667,-600,26.07166667,-80.14972222,-500,2019-03-08T19:23:00.000Z,2019-03-08T21:47:00.000Z
1393007->1169706,2019,1,3,8,5,2019-03-08T00:00:00.000Z,UA,19977,N36247,2106,13930,1393007,ORD,"Chicago, IL",IL,Illinois,11697,1169706,FLL,"Fort Lauderdale, FL",FL,Florida,1410,1404,-6.0,26.0,1430,1758,10.0,1816,1808,-8.0,0.0,"",0.0,186.0,184.0,148.0,1182.0,5,"","","","","","",41.97444444,-87.90666667,-600,26.07166667,-80.14972222,-500,2019-03-08T20:30:00.000Z,2019-03-08T22:58:00.000Z
1393007->1169706,2019,1,3,8,5,2019-03-08T00:00:00.000Z,UA,19977,N66803,2066,13930,1393007,ORD,"Chicago, IL",IL,Illinois,11697,1169706,FLL,"Fort Lauderdale, FL",FL,Florida,1125,1116,-9.0,26.0,1142,1502,2.0,1531,1504,-27.0,0.0,"",0.0,186.0,168.0,140.0,1182.0,5,"","","","","","",41.97444444,-87.90666667,-600,26.07166667,-80.14972222,-500,2019-03-08T17:42:00.000Z,2019-03-08T20:02:00.000Z
1410702->1275804,2019,1,3,8,5,2019-03-08T00:00:00.000Z,AA,19805,N201UU,663,14107,1410702,PHX,"Phoenix, AZ",AZ,Arizona,12758,1275804,KOA,"Kona, HI",HI,Hawaii,1205,1201,-4.0,13.0,1214,1533,3.0,1548,1536,-12.0,0.0,"",0.0,403.0,395.0,379.0,2860.0,11,"","","","","","",33.43416667,-112.01166667,-700,19.73888889,-156.04555556,-1000,2019-03-08T19:14:00.000Z,2019-03-09T01:33:00.000Z
1412202->1530402,2019,1,3,8,5,2019-03-08T00:00:00.000Z,NK,20416,N641NK,291,14122,1412202,PIT,"Pittsburgh, PA",PA,Pennsylvania,15304,1530402,TPA,"Tampa, FL",FL,Florida,1255,1249,-6.0,10.0,1259,1452,9.0,1517,1501,-16.0,0.0,"",0.0,142.0,132.0,113.0,873.0,4,"","","","","","",40.49138889,-80.23277778,-500,27.97555556,-82.53333333,-500,2019-03-08T17:59:00.000Z,2019-03-08T19:52:00.000Z
1412202->1530402,2019,1,3,8,5,2019-03-08T00:00:00.000Z,WN,19393,N208WN,836,14122,1412202,PIT,"Pittsburgh, PA",PA,Pennsylvania,15304,1530402,TPA,"Tampa, FL",FL,Florida,1540,1543,3.0,10.0,1553,1747,4.0,1805,1751,-14.0,0.0,"",0.0,145.0,128.0,114.0,873.0,4,"","","","","","",40.49138889,-80.23277778,-500,27.97555556,-82.53333333,-500,2019-03-08T20:53:00.000Z,2019-03-08T22:47:00.000Z
1473003->1226603,2019,1,3,8,5,2019-03-08T00:00:00.000Z,YX,20452,N638RW,3577,14730,1473003,SDF,"Louisville, KY",KY,Kentucky,12266,1226603,IAH,"Houston, TX",TX,Texas,1550,1542,-8.0,17.0,1559,1702,7.0,1725,1709,-16.0,0.0,"",0.0,155.0,147.0,123.0,788.0,4,"","","","","","",38.17416667,-85.73638889,-500,29.98444444,-95.34138889,-600,2019-03-08T20:59:00.000Z,2019-03-08T23:02:00.000Z
1473003->1226603,2019,1,3,8,5,2019-03-08T00:00:00.000Z,YX,20452,N639RW,3652,14730,1473003,SDF,"Louisville, KY",KY,Kentucky,12266,1226603,IAH,"Houston, TX",TX,Texas,910,900,-10.0,68.0,1008,1114,3.0,1046,1117,31.0,0.0,"",0.0,156.0,197.0,126.0,788.0,4,0.0,0.0,31.0,0.0,0.0,"",38.17416667,-85.73638889,-500,29.98444444,-95.34138889,-600,2019-03-08T15:08:00.000Z,2019-03-08T17:14:00.000Z
1473003->1530402,2019,1,3,8,5,2019-03-08T00:00:00.000Z,WN,19393,N7878A,2460,14730,1473003,SDF,"Louisville, KY",KY,Kentucky,15304,1530402,TPA,"Tampa, FL",FL,Florida,1430,1426,-4.0,7.0,1433,1613,4.0,1635,1617,-18.0,0.0,"",0.0,125.0,111.0,100.0,727.0,3,"","","","","","",38.17416667,-85.73638889,-500,27.97555556,-82.53333333,-500,2019-03-08T19:33:00.000Z,2019-03-08T21:13:00.000Z
1474703->1289208,2019,1,3,8,5,2019-03-08T00:00:00.000Z,DL,19790,N3739P,128,14747,1474703,SEA,"Seattle, WA",WA,Washington,12892,1289208,LAX,"Los Angeles, CA",CA,California,1029,1128,59.0,14.0,1142,1338,8.0,1317,1346,29.0,0.0,"",0.0,168.0,138.0,116.0,954.0,4,0.0,29.0,0.0,0.0,0.0,"",47.45,-122.31166667,-800,33.9425,-118.40805556,-800,2019-03-08T19:42:00.000Z,2019-03-08T21:38:00.000Z
1474703->1289208,2019,1,3,8,5,2019-03-08T00:00:00.000Z,DL,19790,N376DA,2107,14747,1474703,SEA,"Seattle, WA",WA,Washington,12892,1289208,LAX,"Los Angeles, CA",CA,California,1130,1207,37.0,17.0,1224,1423,5.0,1415,1428,13.0,0.0,"",0.0,165.0,141.0,119.0,954.0,4,"","","","","","",47.45,-122.31166667,-800,33.9425,-118.40805556,-800,2019-03-08T20:24:00.000Z,2019-03-08T22:23:00.000Z
1474703->1289208,2019,1,3,8,5,2019-03-08T00:00:00.000Z,DL,19790,N358NB,2153,14747,1474703,SEA,"Seattle, WA",WA,Washington,12892,1289208,LAX,"Los Angeles, CA",CA,California,755,747,-8.0,83.0,910,1109,7.0,1039,1116,37.0,0.0,"",0.0,164.0,209.0,119.0,954.0,4,0.0,0.0,37.0,0.0,0.0,"",47.45,-122.31166667,-800,33.9425,-118.40805556,-800,2019-03-08T17:10:00.000Z,2019-03-08T19:09:00.000Z
1474703->1289208,2019,1,3,8,5,2019-03-08T00:00:00.000Z,DL,19790,N819DN,2377,14747,1474703,SEA,"Seattle, WA",WA,Washington,12892,1289208,LAX,"Los Angeles, CA",CA,California,600,559,-1.0,26.0,625,829,8.0,849,837,-12.0,0.0,"",0.0,169.0,158.0,124.0,954.0,4,"","","","","","",47.45,-122.31166667,-800,33.9425,-118.40805556,-800,2019-03-08T14:25:00.000Z,2019-03-08T16:29:00.000Z
1474703->1289208,2019,1,3,8,5,2019-03-08T00:00:00.000Z,OO,20304,N166SY,5384,14747,1474703,SEA,"Seattle, WA",WA,Washington,12892,1289208,LAX,"Los Angeles, CA",CA,California,1235,1236,1.0,47.0,1323,1528,13.0,1528,1541,13.0,0.0,"",0.0,173.0,185.0,125.0,954.0,4,"","","","","","",47.45,-122.31166667,-800,33.9425,-118.40805556,-800,2019-03-08T21:23:00.000Z,2019-03-08T23:28:00.000Z
1474703->1289208,2019,1,3,8,5,2019-03-08T00:00:00.000Z,AS,19930,N364VA,1158,14747,1474703,SEA,"Seattle, WA",WA,Washington,12892,1289208,LAX,"Los Angeles, CA",CA,California,1000,1005,5.0,39.0,1044,1242,8.0,1245,1250,5.0,0.0,"",0.0,165.0,165.0,118.0,954.0,4,"","","","","","",47.45,-122.31166667,-800,33.9425,-118.40805556,-800,2019-03-08T18:44:00.000Z,2019-03-08T20:42:00.000Z
1474703->1289208,2019,1,3,8,5,2019-03-08T00:00:00.000Z,AS,19930,N596AS,1786,14747,1474703,SEA,"Seattle, WA",WA,Washington,12892,1289208,LAX,"Los Angeles, CA",CA,California,1155,1153,-2.0,28.0,1221,1421,11.0,1440,1432,-8.0,0.0,"",0.0,165.0,159.0,120.0,954.0,4,"","","","","","",47.45,-122.31166667,-800,33.9425,-118.40805556,-800,2019-03-08T20:21:00.000Z,2019-03-08T22:21:00.000Z
1474703->1289208,2019,1,3,8,5,2019-03-08T00:00:00.000Z,AS,19930,N532AS,315,14747,1474703,SEA,"Seattle, WA",WA,Washington,12892,1289208,LAX,"Los Angeles, CA",CA,California,730,728,-2.0,10.0,738,942,9.0,1015,951,-24.0,0.0,"",0.0,165.0,143.0,124.0,954.0,4,"","","","","","",47.45,-122.31166667,-800,33.9425,-118.40805556,-800,2019-03-08T15:38:00.000Z,2019-03-08T17:42:00.000Z
1474703->1289208,2019,1,3,8,5,2019-03-08T00:00:00.000Z,AS,19930,N493AS,404,14747,1474703,SEA,"Seattle, WA",WA,Washington,12892,1289208,LAX,"Los Angeles, CA",CA,California,600,601,1.0,16.0,617,825,11.0,845,836,-9.0,0.0,"",0.0,165.0,155.0,128.0,954.0,4,"","","","","","",47.45,-122.31166667,-800,33.9425,-118.40805556,-800,2019-03-08T14:17:00.000Z,2019-03-08T16:25:00.000Z
1474703->1289208,2019,1,3,8,5,2019-03-08T00:00:00.000Z,AS,19930,N265AK,442,14747,1474703,SEA,"Seattle, WA",WA,Washington,12892,1289208,LAX,"Los Angeles, CA",CA,California,900,900,0.0,12.0,912,1111,33.0,1145,1144,-1.0,0.0,"",0.0,165.0,164.0,119.0,954.0,4,"","","","","","",47.45,-122.31166667,-800,33.9425,-118.40805556,-800,2019-03-08T17:12:00.000Z,2019-03-08T19:11:00.000Z
