ROUTE_PATH,ORIGIN_AIRPORT_SEQ_ID,DEST_AIRPORT_SEQ_ID,AIR_TIME_AVG,DISTANCE
1541205->1127805,1541205,1127805,67.14285714285714,437.0
1541205->1105703,1541205,1105703,37.64705882352941,177.0
1541205->1039707,1541205,1039707,34.208333333333336,152.0
1541105->1129806,1541105,1129806,31.727272727272727,102.0
1540103->1129806,1540103,1129806,39.375,181.0
1538902->1486903,1538902,1486903,34.77777777777778,175.0
1538005->1393007,1538005,1393007,46.5,224.0
1538005->1393006,1538005,1393006,49.0,224.0
1538005->1143302,1538005,1143302,40.333333333333336,207.0
1537604->1486903,1537604,1486903,83.33333333333333,601.0
1537604->1483106,1537604,1483106,118.0,722.0
1537604->1477104,1537604,1477104,126.15384615384616,751.0
1537604->1474703,1537604,1474703,168.125,1216.0
1537604->1410702,1537604,1410702,24.555555555555557,110.0
1537604->1405702,1537604,1405702,168.0,1119.0
1537604->1393007,1537604,1393007,159.42857142857142,1437.0
1537604->1348702,1537604,1348702,157.33333333333334,1298.0
1537604->1289208,1537604,1289208,78.23076923076923,451.0
1537604->1226603,1537604,1226603,115.83333333333333,936.0
1537604->1129806,1537604,1129806,98.47058823529412,813.0
1537604->1129202,1537604,1129202,81.82352941176471,639.0
1537604->1039707,1537604,1039707,170.5,1541.0
1537603->1483106,1537603,1483106,112.0,721.0
1537603->1467903,1537603,1467903,62.833333333333336,367.0
1537603->1431402,1537603,1431402,77.0,560.0
1537603->1410702,1537603,1410702,26.833333333333332,110.0
1537603->1323202,1537603,1323202,163.25,1440.0
1537603->1289208,1537603,1289208,76.25,451.0
1537603->1288903,1537603,1288903,57.6,364.0
1537603->1226603,1537603,1226603,115.33333333333333,936.0
1537603->1129202,1537603,1129202,78.22222222222223,639.0
1537603->1066602,1537603,1066602,172.0,1299.0
1537002->1501606,1537002,1501606,51.0,351.0
1537002->1486903,1537002,1486903,148.5,926.0
1537002->1476106,1537002,1476106,112.0,995.0
1537002->1410702,1537002,1410702,151.66666666666666,935.0
1537002->1393007,1537002,1393007,79.5,585.0
1537002->1393006,1537002,1393006,80.28571428571429,585.0
1537002->1348702,1537002,1348702,87.0,615.0
1537002->1289208,1537002,1289208,193.0,1283.0
1537002->1288903,1537002,1288903,162.25,1076.0
1537002->1226603,1537002,1226603,75.27272727272727,429.0
1537002->1219102,1537002,1219102,73.125,453.0
1537002->1129806,1537002,1129806,50.45454545454545,237.0
1537002->1129202,1537002,1129202,91.16666666666667,541.0
1537002->1125903,1537002,1125903,44.72727272727273,237.0
1537002->1105703,1537002,1105703,108.33333333333333,842.0
1537002->1039707,1537002,1039707,87.6923076923077,674.0
1535602->1530402,1535602,1530402,136.5,955.0
1535602->1463502,1535602,1463502,148.5,1028.0
1535602->1449202,1535602,1449202,63.0,373.0
1535602->1402702,1535602,1402702,144.0,985.0
1535602->1320402,1535602,1320402,122.8,896.0
1535602->1245102,1535602,1245102,114.0,777.0
1535602->1169706,1535602,1169706,140.0,1026.0
1535602->1105703,1535602,1105703,83.0,484.0
1535602->1069302,1535602,1069302,136.0,706.0
1535602->1039707,1535602,1039707,117.0,701.0
1532305->1476106,1532305,1476106,72.0,535.0
1532305->1039707,1532305,1039707,44.6875,227.0
1530402->1535602,1530402,1535602,132.5,955.0
1530402->1509602,1530402,1509602,147.0,1104.0
1530402->1501606,1530402,1501606,138.22222222222223,869.0
1530402->1486903,1530402,1486903,277.3333333333333,1888.0
1530402->1484306,1530402,1484306,143.66666666666666,1237.0
1530402->1477104,1530402,1477104,340.0,2393.0
1530402->1474703,1530402,1474703,357.5,2520.0
1530402->1473003,1530402,1473003,110.2,727.0
1530402->1468305,1530402,1468305,148.66666666666666,972.0
1530402->1467903,1530402,1467903,303.0,2087.0
1530402->1457606,1530402,1457606,145.75,1079.0
1530402->1449202,1530402,1449202,85.33333333333333,587.0
1530402->1432105,1530402,1432105,159.0,1277.0
1530402->1430705,1530402,1430705,149.5,1136.0
1530402->1412202,1530402,1412202,122.23076923076923,873.0
1530402->1410702,1530402,1410702,265.3076923076923,1788.0
1530402->1410005,1530402,1410005,128.64285714285714,920.0
1530402->1393102,1530402,1393102,92.0,717.0
1530402->1393007,1530402,1393007,154.08695652173913,1011.0
1530402->1393006,1530402,1393006,155.16666666666666,1012.0
1530402->1349505,1530402,1349505,81.08333333333333,488.0
1530402->1348702,1530402,1348702,192.23529411764707,1306.0
1530402->1334207,1530402,1334207,160.0909090909091,1075.0
1530402->1330303,1530402,1330303,37.5,204.0
1530402->1329604,1530402,1329604,161.0,1204.0
1530402->1324402,1530402,1324402,107.33333333333333,655.0
1530402->1323202,1530402,1323202,149.28571428571428,997.0
1530402->1319801,1530402,1319801,158.5,1048.0
1530402->1295304,1530402,1295304,136.0,1010.0
1530402->1289806,1530402,1289806,123.0,866.0
1530402->1289208,1530402,1289208,315.2,2158.0
1530402->1288903,1530402,1288903,290.75,1984.0
1530402->1247805,1530402,1247805,135.20833333333334,1005.0
1530402->1239103,1530402,1239103,134.0,1034.0
1530402->1239102,1530402,1239102,138.2,1034.0
1530402->1233904,1530402,1233904,124.0,837.0
1530402->1226603,1530402,1226603,122.66666666666667,787.0
1530402->1226402,1530402,1226402,112.88888888888889,811.0
1530402->1219702,1530402,1219702,148.0,1032.0
1530402->1219102,1530402,1219102,127.0,781.0
1530402->1199603,1530402,1199603,72.0,477.0
1530402->1199502,1530402,1199502,86.0,580.0
1530402->1198603,1530402,1198603,146.5,1041.0
1530402->1169706,1530402,1169706,37.55,197.0
1530402->1161802,1530402,1161802,139.6153846153846,997.0
1530402->1143302,1530402,1143302,138.34615384615384,983.0
1530402->1129806,1530402,1129806,148.69565217391303,929.0
1530402->1129202,1530402,1129202,222.2608695652174,1506.0
1530402->1127805,1530402,1127805,113.89473684210526,814.0
1530402->1125903,1530402,1125903,150.0,917.0
1530402->1119302,1530402,1119302,114.4,773.0
1530402->1106606,1530402,1106606,121.26666666666667,829.0
1530402->1105703,1530402,1105703,75.89655172413794,507.0
1530402->1104205,1530402,1104205,125.625,927.0
1530402->1087402,1530402,1087402,125.0,894.0
1530402->1082106,1530402,1082106,116.66666666666667,842.0
1530402->1079206,1530402,1079206,142.9090909090909,1053.0
1530402->1072102,1530402,1072102,157.46153846153845,1185.0
1530402->1069302,1530402,1069302,96.92857142857143,612.0
1530402->1059904,1530402,1059904,74.2,459.0
