DEST_AIRPORT_SEQ_ID,ORIGIN_AIRPORT_SEQ_ID,ROUTE_PATH,AIR_TIME_AVG,DISTANCE,ORIGIN_LATITUDE,ORIGIN_LONGITUDE,ORIGIN_UTC_LOCAL_TIME_VARIATION,DEST_LATITUDE,DEST_LONGITUDE,DEST_UTC_LOCAL_TIME_VARIATION
1486903,1537002,1537002->1486903,142.40350877192984,926.0,36.19833333,-95.88805556,-600,40.78833333,-111.97777778,-700
1476107,1537002,1537002->1476107,124.5,995.0,36.19833333,-95.88805556,-600,28.77722222,-81.235,-500
1476106,1537002,1537002->1476106,123.5,995.0,36.19833333,-95.88805556,-600,28.77694444,-81.235,-500
1411206,1537002,1537002->1411206,118.0,961.0,36.19833333,-95.88805556,-600,27.90861111,-82.68638889,-500
1410702,1537002,1537002->1410702,138.6909090909091,935.0,36.19833333,-95.88805556,-600,33.43416667,-112.01166667,-700
1393007,1537002,1537002->1393007,84.683908045977,585.0,36.19833333,-95.88805556,-600,41.97444444,-87.90666667,-600
1393006,1537002,1537002->1393006,80.28571428571429,585.0,36.19833333,-95.88805556,-600,41.97722222,-87.90805556,-600
1348702,1537002,1537002->1348702,90.20833333333333,615.0,36.19833333,-95.88805556,-600,44.88194444,-93.22166667,-600
1320402,1537002,1537002->1320402,145.33333333333334,1005.0,36.19833333,-95.88805556,-600,28.42944444,-81.30888889,-500
1289208,1537002,1537002->1289208,174.54545454545453,1283.0,36.19833333,-95.88805556,-600,33.9425,-118.40805556,-800
1288903,1537002,1537002->1288903,153.39622641509433,1076.0,36.19833333,-95.88805556,-600,36.08,-115.15222222,-800
1226603,1537002,1537002->1226603,75.09623430962343,429.0,36.19833333,-95.88805556,-600,29.98444444,-95.34138889,-600
1219102,1537002,1537002->1219102,72.47252747252747,453.0,36.19833333,-95.88805556,-600,29.64555556,-95.27888889,-600
1129806,1537002,1537002->1129806,45.70860927152318,237.0,36.19833333,-95.88805556,-600,32.89722222,-97.03777778,-600
1129202,1537002,1537002->1129202,85.24581005586592,541.0,36.19833333,-95.88805556,-600,39.86166667,-104.67305556,-700
1125904,1537002,1537002->1125904,42.823008849557525,238.0,36.19833333,-95.88805556,-600,32.84583333,-96.85083333,-600
1125903,1537002,1537002->1125903,44.72727272727273,237.0,36.19833333,-95.88805556,-600,32.84722222,-96.85166667,-600
1105703,1537002,1537002->1105703,109.75342465753425,842.0,36.19833333,-95.88805556,-600,35.21361111,-80.94916667,-500
1039707,1537002,1537002->1039707,88.17791411042944,674.0,36.19833333,-95.88805556,-600,33.63666667,-84.42777778,-500
1530402,1535602,1535602->1530402,137.48,955.0,40.27666667,-74.81333333,-500,27.97555556,-82.53333333,-500
1498603,1535602,1535602->1498603,149.0,992.0,40.27666667,-74.81333333,-500,27.39555556,-82.55444444,-500
1463502,1535602,1535602->1463502,150.1578947368421,1028.0,40.27666667,-74.81333333,-500,26.53611111,-81.75527778,-500
1449202,1535602,1535602->1449202,65.75,373.0,40.27666667,-74.81333333,-500,35.87777778,-78.7875,-500
1402702,1535602,1535602->1402702,142.7826086956522,985.0,40.27666667,-74.81333333,-500,26.68305556,-80.09555556,-500
1393007,1535602,1535602->1393007,106.57142857142857,692.0,40.27666667,-74.81333333,-500,41.97444444,-87.90666667,-600
1357702,1535602,1535602->1357702,75.5,509.0,40.27666667,-74.81333333,-500,33.67972222,-78.92833333,-500
1348702,1535602,1535602->1348702,149.66666666666666,989.0,40.27666667,-74.81333333,-500,44.88194444,-93.22166667,-600
1320402,1535602,1535602->1320402,127.4090909090909,896.0,40.27666667,-74.81333333,-500,28.42944444,-81.30888889,-500
1245102,1535602,1535602->1245102,110.92307692307692,777.0,40.27666667,-74.81333333,-500,30.49416667,-81.68777778,-500
1169706,1535602,1535602->1169706,148.6818181818182,1026.0,40.27666667,-74.81333333,-500,26.07166667,-80.14972222,-500
1143302,1535602,1535602->1143302,79.85714285714286,464.0,40.27666667,-74.81333333,-500,42.2125,-83.35333333,-500
1105703,1535602,1535602->1105703,80.63157894736842,484.0,40.27666667,-74.81333333,-500,35.21361111,-80.94916667,-500
1099402,1535602,1535602->1099402,86.54545454545455,586.0,40.27666667,-74.81333333,-500,32.89861111,-80.04055556,-500
