ROUTE_BETWEEN_AIRPORTS,SUM_OF_ALL_DELAYS,AVERAGE_OF_ALL_DELAYS,SUM_OF_WEATHER_DELAY,AVERAGE_OF_WEATHER_DELAY,SUM_OF_CARRIER_DELAY,AVERAGE_OF_CARRIER_DELAY,SUM_OF_NAS_DELAY,AVERAGE_OF_NAS_DELAY,SUM_OF_SECURITY_DELAY,AVERAGE_OF_SECURITY_DELAY,SUM_OF_LATE_AIRCRAFT_DELAY,AVERAGE_OF_LATE_AIRCRAFT_DELAY
ORD->EWR,144528.0,26.239651416122005,7253.0,1.3168119099491649,24829.0,4.507806826434277,60381.0,10.962418300653594,11.0,0.0019970951343500363,52054.0,9.450617283950617
MSP->ORD,143409.0,19.149285618907733,12663.0,1.6908799572706636,27904.0,3.725998130591534,61583.0,8.223127253304847,18.0,0.0024035251702496994,41241.0,5.506876752570436
SFO->SEA,140068.0,15.049747501880304,502.0,0.0539378962071559,31437.0,3.377780165466853,40425.0,4.343504888793381,45.0,0.00483507037713549,67659.0,7.26968948103578
PHL->BOS,139488.0,18.10826950538751,3201.0,0.4155523821887576,34861.0,4.52563936128781,45778.0,5.9428793976372845,5.0,6.490977541217707E-4,55643.0,7.223549266519538
ORD->LAX,136001.0,17.01927168064072,8595.0,1.0755850331623076,39883.0,4.990989863596546,24112.0,3.0173945688900012,23.0,0.002878238017769991,63388.0,7.932423976974096
ORD->ATL,133397.0,17.407934229414067,14079.0,1.837269998695028,35300.0,4.6065509591543785,29818.0,3.891165339945191,37.0,0.004828396189481926,54163.0,7.068119535429989
DFW->LGA,132253.0,20.077880674054956,9574.0,1.4534689540003036,39221.0,5.954303931987248,44361.0,6.734628814331258,51.0,0.007742523151662365,39046.0,5.927736450584485
DCA->LGA,132114.0,19.72145096283027,4992.0,0.7451858486341245,16847.0,2.514852963128825,70832.0,10.5735184355874,0.0,0.0,39443.0,5.8878937154799225
BOS->DCA,130687.0,14.771900079122867,3781.0,0.42737651181191366,38097.0,4.306205493387589,30877.0,3.4901096416864474,107.0,0.012094495309144342,57825.0,6.536113936927772
ORD->MSP,130631.0,17.459369152632984,12624.0,1.6872493985565358,31672.0,4.233092755947608,28390.0,3.794439989307672,25.0,0.0033413525795241913,57920.0,7.741245656241647
JFK->SFO,130324.0,17.10288713910761,5764.0,0.7564304461942257,30689.0,4.02742782152231,76149.0,9.993307086614173,47.0,0.006167979002624672,17675.0,2.3195538057742784
SAN->SFO,129667.0,17.16988877118644,1394.0,0.18458686440677965,18515.0,2.4516684322033897,67679.0,8.961731991525424,45.0,0.005958686440677966,42034.0,5.5659427966101696
SFO->JFK,128128.0,16.812491798976513,857.0,0.11245243406377116,34993.0,4.591654638498885,47893.0,6.284345886366618,66.0,0.00866028080304422,44319.0,5.815378559244194
LAS->LAX,127936.0,10.917904079194402,1296.0,0.11059907834101383,35589.0,3.037122375832053,26463.0,2.2583205325140807,154.0,0.013142174432497013,64434.0,5.498719918074757
DTW->ORD,126803.0,18.62832378433965,7990.0,1.173791685030116,36134.0,5.30835904216248,48012.0,7.053327457029528,162.0,0.02379903040987219,34505.0,5.069046569707654
LGA->DFW,126674.0,19.23967193195626,6776.0,1.0291616038882139,42259.0,6.418438639125152,37095.0,5.634113001215066,15.0,0.002278250303766707,40529.0,6.155680437424058
ATL->ORD,126311.0,16.31714248805064,7111.0,0.9186151659992249,25162.0,3.250484433535719,63569.0,8.211988115230591,6.0,7.75093657150239E-4,30463.0,3.935279679627955
DEN->SFO,124289.0,22.17070995362112,3989.0,0.7115590438815554,22151.0,3.9513021762397433,62201.0,11.09543346414556,0.0,0.0,35948.0,6.4124152693542635
DEN->ORD,123272.0,19.55767095034111,9828.0,1.5592574964302712,22350.0,3.5459305092812947,44034.0,6.986197049024274,14.0,0.0022211645248294463,47046.0,7.4640647310804376
EWR->ORD,122512.0,22.174117647058825,7956.0,1.44,18432.0,3.336108597285068,46495.0,8.415384615384616,29.0,0.005248868778280543,49600.0,8.97737556561086
EWR->ATL,122504.0,18.70575660406169,6301.0,0.9621316231485723,34819.0,5.316689570926859,21376.0,3.2640097724843486,18.0,0.002748511223087494,59990.0,9.160177126278821
SFO->ORD,121787.0,19.206276612521684,1378.0,0.21731588077590286,32526.0,5.129474846238764,31080.0,4.901435104873048,16.0,0.0025232613152499604,56787.0,8.95552751931872
BOS->PHL,121467.0,15.82838154808444,4220.0,0.5499087829033099,34174.0,4.45321866041178,33464.0,4.36069846234037,22.0,0.0028668230388324213,49587.0,6.461688819390148
BNA->ORD,120255.0,22.758327024981075,3506.0,0.6635124905374716,30526.0,5.777062831188494,48391.0,9.158024224072673,7.0,0.0013247539742619228,37825.0,7.158402725208176
JFK->BOS,118020.0,21.4698926687284,7235.0,1.3161724577042022,33941.0,6.174458795706749,35174.0,6.398762961615427,183.0,0.033290885937784245,41487.0,7.547207567764235
CVG->ORD,116886.0,20.883687689833838,3613.0,0.6455243880650349,23965.0,4.281758084688226,47824.0,8.54457745220654,38.0,0.006789351438270502,41446.0,7.405038413435769
LAX->LAS,116470.0,9.936017744412217,722.0,0.0615935847125064,32815.0,2.7994369561508274,25116.0,2.142637775123699,362.0,0.030882102030370243,57455.0,4.901467326394813
ORD->DCA,114470.0,14.260620406129313,8446.0,1.0521988289522861,30572.0,3.8086458203562974,28880.0,3.5978572318425313,27.0,0.003363647689049458,46545.0,5.798554877289149
DCA->ORD,114252.0,14.228144458281445,5205.0,0.6481942714819428,17572.0,2.188293897882939,50176.0,6.248567870485679,28.0,0.0034869240348692405,41271.0,5.139601494396015
EWR->FLL,113909.0,22.8137392349289,3674.0,0.735830162227118,27453.0,5.498297616663328,32415.0,6.492088924494292,52.0,0.010414580412577609,50315.0,10.077107951131584
ORD->DTW,113798.0,16.72024684102263,9880.0,1.4516602997355275,33153.0,4.871143109021451,18605.0,2.733617396414928,27.0,0.0039670878636497205,52133.0,7.65985894798707
ORD->DEN,113529.0,17.96629213483146,6414.0,1.0150340243709448,29383.0,4.649944611489159,30602.0,4.842854882101598,0.0,0.0,47130.0,7.458458616869758
DEN->DFW,112596.0,19.168539325842698,3766.0,0.641130405175349,26959.0,4.589547156962888,30593.0,5.208205652025876,49.0,0.008341845420497106,51229.0,8.721314266258087
LAX->ORD,111181.0,13.913277437116756,736.0,0.09210361656863972,32881.0,4.114754098360656,35869.0,4.488674759103992,43.0,0.005381053685396071,41652.0,5.212363909398073
RDU->LGA,111060.0,22.88481351741191,4465.0,0.9200494539460128,16809.0,3.4636307438697713,59685.0,12.298578199052132,14.0,0.00288481351741191,30087.0,6.199670307026581
SFO->EWR,110517.0,19.044804411511286,1437.0,0.24763053592969153,33386.0,5.753231087368603,42466.0,7.317938997070481,9.0,0.0015509219369291745,33219.0,5.724452869205583
IAH->DFW,110243.0,17.981242864133094,11392.0,1.858098189528625,31179.0,5.0854672973413795,24481.0,3.99298646224107,41.0,0.006687326700375143,43150.0,7.0380035883216445
FLL->ATL,108595.0,12.529710395754009,7082.0,0.8171224183685243,34959.0,4.033575631706473,30669.0,3.538594669435791,461.0,0.05319026191300335,35424.0,4.087227414330218
DTW->LGA,108285.0,21.60514764565044,6227.0,1.2424181963288108,18078.0,3.6069433359936154,60512.0,12.07342378292099,61.0,0.012170790103750998,23407.0,4.670191540303272
DFW->IAH,107732.0,17.568819308545336,9481.0,1.5461513372472278,29154.0,4.75440313111546,28584.0,4.6614481409001955,22.0,0.003587736464448793,40491.0,6.603228962818004
LGA->FLL,107679.0,22.19270403957131,1695.0,0.34934047815333885,29266.0,6.031739488870569,33464.0,6.896949711459192,119.0,0.024525968672712284,43135.0,8.8901483924155
IAH->LGA,107448.0,25.31166077738516,7076.0,1.666902237926973,27116.0,6.387750294464075,50716.0,11.947232037691402,0.0,0.0,22540.0,5.3097762073027095
LGA->DCA,107017.0,15.99417127484681,2476.0,0.37004931998206547,19499.0,2.9142131221043193,33655.0,5.029890898221492,99.0,0.01479599461963832,51288.0,7.665221939919294
CLT->LGA,106297.0,17.928318434811942,3311.0,0.5584415584415584,22449.0,3.7863046044864226,48625.0,8.20121437004554,147.0,0.024793388429752067,31765.0,5.357564513408669
CLT->EWR,105021.0,21.485474631751227,1961.0,0.40118657937806873,17158.0,3.5102291325695583,53052.0,10.853518821603927,104.0,0.02127659574468085,32746.0,6.699263502454992
PHX->SFO,102143.0,21.00843274372686,934.0,0.1921020156314274,19149.0,3.9385026737967914,50075.0,10.299259563965446,97.0,0.01995063759769642,31888.0,6.5586178527355
EWR->LAX,102139.0,20.613319878910193,10784.0,2.1763874873864784,23916.0,4.8266397578203835,23669.0,4.776791120080727,254.0,0.05126135216952573,43516.0,8.782240161453078
BOS->SFO,100889.0,19.96615871759351,3793.0,0.7506431822679597,25179.0,4.982980407678607,44678.0,8.84187611320008,43.0,0.008509796160696616,27196.0,5.382149218286167
DFW->LAX,99826.0,13.603979285908967,6005.0,0.8183428727173617,38518.0,5.24911420005451,19140.0,2.6083401471790677,80.0,0.010902153175252113,36083.0,4.917279912782774
DFW->SFO,99786.0,21.514877102199225,5113.0,1.1024148339801638,23131.0,4.98727899956878,39822.0,8.586028460543337,0.0,0.0,31720.0,6.839154808106943
ORD->CVG,99386.0,17.823888091822095,6786.0,1.2170014347202296,22036.0,3.9519368723098998,21042.0,3.773672883787661,0.0,0.0,49522.0,8.881276901004304
FLL->LGA,99251.0,20.451473315474963,3584.0,0.738512260457449,21607.0,4.45229754790851,55613.0,11.45950958170204,143.0,0.029466309499278795,18304.0,3.7716876159076858
MCO->JFK,99154.0,21.749067778021494,4342.0,0.9524018425093222,28867.0,6.3318710243474445,32035.0,7.026760254441763,899.0,0.19719236674709367,33011.0,7.2408422899758715
SFO->LAS,98427.0,12.604302727621974,1055.0,0.13510052503521577,21950.0,2.810859264950698,20834.0,2.667947240363683,48.0,0.006146753745678064,54540.0,6.9842489435267
LAS->DEN,98320.0,14.142692750287686,3132.0,0.45051783659378597,27327.0,3.930811277330265,25034.0,3.6009781357882624,32.0,0.004602991944764097,42795.0,6.15578250863061
DEN->PHX,97411.0,12.503016300859967,3735.0,0.4793993068925683,32844.0,4.215633423180593,16291.0,2.0910024387113335,61.0,0.007829546913104864,44480.0,5.709151585162367
CLE->LGA,96594.0,20.578184916915212,3406.0,0.7256071580741372,14544.0,3.0984235193864507,52656.0,11.21772475500639,0.0,0.0,25988.0,5.536429484448232
PBI->EWR,94852.0,29.5213196389667,2362.0,0.7351384998443822,15831.0,4.927170868347339,50851.0,15.826641767818238,35.0,0.010893246187363835,25773.0,8.021475256769374
DFW->DEN,94421.0,16.068924438393466,6815.0,1.1598025867937372,25726.0,4.378148400272294,24309.0,4.136997957794418,125.0,0.021272974812797822,37446.0,6.372702518720218
MCO->ATL,94338.0,10.068089647812167,5507.0,0.587726787620064,25482.0,2.719530416221985,27750.0,2.961579509071505,982.0,0.1048025613660619,34617.0,3.694450373532551
BWI->BOS,94087.0,16.85240909905069,2857.0,0.5117320437041017,25486.0,4.564929249507434,32726.0,5.861723087945549,185.0,0.03313630664517284,32833.0,5.880888411248432
ATL->BOS,94072.0,14.87304347826087,6410.0,1.0134387351778655,23509.0,3.716837944664032,37079.0,5.862292490118577,15.0,0.0023715415019762848,27059.0,4.278102766798419
ATL->FLL,93144.0,10.728403593642017,3906.0,0.4498963372494817,34053.0,3.922252937111265,21351.0,2.45922598479613,46.0,0.005298318359824925,33788.0,3.8917300161253165
DEN->SLC,92979.0,13.222269624573379,6014.0,0.8552332195676906,29877.0,4.248720136518771,13419.0,1.9082764505119454,0.0,0.0,43669.0,6.210039817974971
ATL->MCO,92969.0,9.959185859667917,4216.0,0.4516336368505624,32425.0,3.4734868773433316,25212.0,2.700803427959293,317.0,0.03395822174611676,30799.0,3.2993036957686126
DEN->LAX,92667.0,12.664616646166461,6337.0,0.8660653273199399,26132.0,3.5714090474238076,17482.0,2.3892305589722564,18.0,0.0024600246002460025,42698.0,5.835451687850211
ORD->BNA,92407.0,17.28526000748223,3900.0,0.7295173961840629,33106.0,6.1926674148896375,17364.0,3.2480359147025815,0.0,0.0,38037.0,7.115039281705949
DEN->SEA,92341.0,13.478470296307108,3995.0,0.5831265508684863,26855.0,3.9198657130345933,20040.0,2.9251204203765875,15.0,0.0021894613924974458,41436.0,6.048168150634944
SFO->DEN,92200.0,16.24669603524229,763.0,0.13444933920704846,21688.0,3.8216740088105725,19226.0,3.38784140969163,0.0,0.0,50523.0,8.90273127753304
LAX->DFW,91835.0,12.51158038147139,980.0,0.1335149863760218,37131.0,5.058719346049046,20678.0,2.81716621253406,275.0,0.03746594005449591,32771.0,4.4647138964577655
MIA->LGA,90904.0,15.831417624521073,4201.0,0.7316266109369558,21946.0,3.8220132358063394,45796.0,7.975618251480321,92.0,0.01602229188436085,18869.0,3.2861372344130966
SFO->BOS,90742.0,17.97583201267829,370.0,0.07329635499207607,25102.0,4.972662440570523,32600.0,6.458003169572108,41.0,0.00812202852614897,32629.0,6.463748019017433
DEN->LAS,90634.0,13.103079369668931,2761.0,0.39916148619343644,23557.0,3.405667196761602,23308.0,3.3696689316177535,15.0,0.002168570189388463,40993.0,5.926413184906751
MCO->BOS,89929.0,20.71142330723169,4939.0,1.1374942422846614,19057.0,4.388991248272686,34946.0,8.04836480884385,227.0,0.05228005527406725,30760.0,7.084292952556425
ORD->IAH,89573.0,17.232204694113122,5141.0,0.989034243939977,20768.0,3.9953828395536743,29476.0,5.67064255482878,78.0,0.015005771450557906,34110.0,6.562139284340131
PHX->DEN,89324.0,11.432740304620504,3363.0,0.4304364520670677,24737.0,3.1661333674644823,22478.0,2.8769998720081915,169.0,0.021630615640599003,38577.0,4.9375399974401635
SEA->DEN,88322.0,12.817007691191408,4344.0,0.630387461906835,26718.0,3.87723117109273,26588.0,3.8583659846176173,78.0,0.011319111885067479,30594.0,4.43970396168916
IAH->ORD,88287.0,17.02410335518704,9228.0,1.7794060933281912,15337.0,2.95738526802931,32024.0,6.175086772078673,3.0,5.784805244890089E-4,31695.0,6.111646741226378
MCO->LGA,88232.0,22.456604734029014,2902.0,0.7386103334181726,17945.0,4.567319928735047,43479.0,11.06617459913464,338.0,0.08602697887503181,23568.0,5.998472893866124
BOS->JFK,88048.0,16.16746235769372,5486.0,1.0073448402497245,24895.0,4.5712449504223285,23738.0,4.3587954461990455,0.0,0.0,33929.0,6.230077120822622
SEA->ORD,87988.0,15.520903157523373,8149.0,1.4374669253836656,22107.0,3.899629564297054,33778.0,5.958370082907038,35.0,0.006173928382430764,23919.0,4.219262656553184
MCO->PHL,87273.0,14.959376071306137,5595.0,0.9590332533424751,23903.0,4.097188892697978,20248.0,3.470689064106959,312.0,0.053479602331162154,37215.0,6.378985258827562
ORD->SEA,87166.0,15.373192239858907,5797.0,1.0223985890652558,21125.0,3.7257495590828924,18827.0,3.320458553791887,0.0,0.0,41417.0,7.3045855379188716
ATL->DFW,87055.0,12.727339181286549,1689.0,0.2469298245614035,25390.0,3.711988304093567,33565.0,4.9071637426900585,0.0,0.0,26411.0,3.8612573099415206
DTW->EWR,86359.0,27.165460836741115,1332.0,0.4189996854356716,11206.0,3.5250078641082103,59785.0,18.80622837370242,0.0,0.0,14036.0,4.41522491349481
DEN->LGA,86313.0,19.842068965517242,4879.0,1.1216091954022989,13904.0,3.19632183908046,48200.0,11.080459770114942,110.0,0.02528735632183908,19220.0,4.418390804597701
CMH->ORD,86185.0,16.995661605206074,2995.0,0.5906132912640505,17626.0,3.4758430289883653,35017.0,6.905344113587064,0.0,0.0,30547.0,6.023861171366594
CLE->ORD,86095.0,16.99467035136202,2957.0,0.5836952230556652,17587.0,3.4715752072641135,35305.0,6.969009080142124,0.0,0.0,30246.0,5.9703908409001185
CLT->ORD,86004.0,17.145933014354068,3455.0,0.6887958532695375,19322.0,3.8520733652312598,34914.0,6.9605263157894735,696.0,0.13875598086124402,27617.0,5.505781499202552
ORD->IND,85345.0,17.02134024730754,4092.0,0.8161148783406462,28531.0,5.6902672516952535,16281.0,3.247108097327483,0.0,0.0,36441.0,7.267850019944157
PIT->LGA,85297.0,18.95488888888889,1245.0,0.27666666666666667,10580.0,2.351111111111111,44020.0,9.782222222222222,1.0,2.2222222222222223E-4,29451.0,6.544666666666667
DFW->ATL,84815.0,12.39260666277031,7892.0,1.1531268264172998,24509.0,3.581092928112215,14220.0,2.077732320280538,16.0,0.0023378141437755697,38178.0,5.578316773816481
LAX->HNL,84799.0,14.45109066121336,420.0,0.07157464212678936,40840.0,6.959781867757328,13067.0,2.2268234492160874,43.0,0.00732788002726653,30429.0,5.185582822085889
ORD->PHX,84725.0,15.774529882703407,7386.0,1.3751629119344628,22771.0,4.239620182461366,17319.0,3.224539191956805,5.0,9.30925339787749E-4,37244.0,6.934276671010985
LGA->RDU,84699.0,17.438542310067945,1867.0,0.38439365863701874,18265.0,3.7605517809347333,21552.0,4.4373069796170475,62.0,0.01276508132592135,42953.0,8.843524809553221
MSP->EWR,84624.0,24.722173531989483,4816.0,1.4069529652351738,12544.0,3.6646216768916156,51120.0,14.934268185801928,69.0,0.020157756354075372,16075.0,4.69617294770669
LGA->CLE,84480.0,18.005115089514067,3230.0,0.6884057971014492,14666.0,3.1257459505541347,21635.0,4.611040068201193,13.0,0.0027706734867860186,44936.0,9.577152600170503
LGA->IAH,84100.0,19.811542991755005,7201.0,1.6963486454652532,26913.0,6.339929328621908,19845.0,4.6749116607773855,0.0,0.0,30141.0,7.1003533568904595
PHL->MCO,84068.0,14.382891360136869,1016.0,0.17382378100940976,25502.0,4.363045337895637,22932.0,3.923353293413174,17.0,0.0029084687767322497,34601.0,5.9197604790419165
IND->ORD,83908.0,17.694643610291017,785.0,0.16554196541543653,17981.0,3.791859974694222,27341.0,5.765710670603121,17.0,0.0035849852382960775,37784.0,7.967946014339941
BOS->ATL,83690.0,13.200315457413248,5400.0,0.8517350157728707,27693.0,4.367981072555205,17828.0,2.81198738170347,30.0,0.00473186119873817,32739.0,5.163880126182965
BUR->SFO,83575.0,22.472438827641838,424.0,0.11400914224253832,11686.0,3.1422425383167516,42618.0,11.459532132293628,46.0,0.012368916375369724,28801.0,7.744286098413552
MCO->SJU,83443.0,15.80958696475938,3449.0,0.6534672224327397,36404.0,6.897309586964759,10731.0,2.03315649867374,608.0,0.1151951496779083,32251.0,6.1104585070102315
DEN->EWR,82832.0,24.889423076923077,5114.0,1.5366586538461537,15442.0,4.640024038461538,39457.0,11.856069711538462,54.0,0.01622596153846154,22765.0,6.840444711538462
RDU->BOS,82553.0,21.2655847501288,3628.0,0.93456980937661,20995.0,5.408294693456981,29445.0,7.58500772797527,45.0,0.011591962905718702,28440.0,7.326120556414219
SFO->SAN,82502.0,10.861242759347025,1347.0,0.1773301737756714,19928.0,2.623486045286993,13166.0,1.733280674038968,30.0,0.0039494470774091624,48031.0,6.323196419167983
PHL->ORD,82462.0,16.30973101265823,5264.0,1.0411392405063291,17356.0,3.4327531645569622,35778.0,7.0763449367088604,87.0,0.01720727848101266,23977.0,4.742286392405063
DFW->PHX,82310.0,17.789064188459044,5472.0,1.1826237302787983,30907.0,6.679706073049492,10428.0,2.2537281175707804,6.0,0.0012967365463583316,35497.0,7.671709531013616
FLL->JFK,81714.0,20.97381930184805,4357.0,1.1183264887063655,22647.0,5.812885010266941,23639.0,6.067505133470226,309.0,0.07931211498973306,30762.0,7.895790554414784
BNA->LGA,81520.0,17.42625053441642,3821.0,0.8168020521590423,10342.0,2.21077383497221,38403.0,8.209277469003847,19.0,0.004061564771269773,28935.0,6.1853356135100475
SLC->DEN,81244.0,11.555113070686957,4886.0,0.6949224861328402,28122.0,3.9997155454416156,23696.0,3.370217607737164,34.0,0.004835727492533068,24506.0,3.4854217038828046
ORD->CLE,80715.0,15.804777756021148,4325.0,0.8468768357156844,22708.0,4.446446054435089,14157.0,2.772077540630507,33.0,0.006461719208928921,39492.0,7.732915606030938
MCO->ORD,80454.0,16.750780762023734,7375.0,1.535498646679159,15639.0,3.2560899437851343,27637.0,5.754112013325005,53.0,0.011034769935457007,29750.0,6.19404538829898
IAH->ATL,80226.0,15.097101994730899,3784.0,0.7120812946932631,32159.0,6.05175009409108,14488.0,2.7263831388784343,101.0,0.01900639819345126,29694.0,5.587881068874671
PDX->SFO,80056.0,15.611544461778472,1736.0,0.33853354134165364,11134.0,2.171216848673947,45491.0,8.87109984399376,0.0,0.0,21695.0,4.230694227769111
SJU->MCO,79938.0,15.232088414634147,802.0,0.15282012195121952,29861.0,5.689977134146342,9735.0,1.8549923780487805,395.0,0.07526676829268293,39145.0,7.459032012195122
BOS->BWI,79696.0,14.26965085049239,2543.0,0.45532676812891676,24610.0,4.406445837063563,14986.0,2.68325872873769,112.0,0.020053715308863025,37445.0,6.7045658012533575
TPA->EWR,79447.0,27.226525017135025,3583.0,1.2278958190541467,9172.0,3.143248800548321,48973.0,16.783070596298835,0.0,0.0,17719.0,6.072309801233722
BOS->MCO,79411.0,18.28482615703431,4301.0,0.990329265484688,24068.0,5.54179138844117,20619.0,4.747639880267096,7.0,0.0016117890858853327,30416.0,7.003453833755469
EWR->CLT,79388.0,16.23476482617587,3127.0,0.6394683026584868,16961.0,3.4685071574642126,16909.0,3.457873210633947,129.0,0.02638036809815951,42262.0,8.642535787321064
LAS->DFW,79100.0,15.531121146671902,1625.0,0.3190653838602003,22726.0,4.462203023758099,21117.0,4.146279206754369,20.0,0.0039269585705870805,33612.0,6.599646573728648
ORD->JFK,78808.0,26.173364330787113,3650.0,1.2122218532049154,14432.0,4.793091996014613,21448.0,7.123214878777815,27.0,0.008967120557954168,39251.0,13.035868482231816
DFW->LAS,78714.0,15.452296819787986,4174.0,0.8193953670985473,24888.0,4.885747938751472,18501.0,3.631919905771496,34.0,0.006674519042010208,31117.0,6.10855908912446
BOS->LAX,77978.0,14.886979763268423,3643.0,0.6954944635357007,26828.0,5.12180221458572,18289.0,3.4915998472699505,61.0,0.011645666284841543,29157.0,5.5664375715922105
HNL->LAX,77748.0,13.251747059826146,291.0,0.04959945457644452,42593.0,7.259757968297256,7154.0,1.219362536219533,2199.0,0.3748082495312766,25511.0,4.348218851201636
LGA->PIT,77428.0,17.217700689348455,2461.0,0.5472537247053592,16347.0,3.6350900600400267,13823.0,3.073826995774961,25.0,0.00555926173004225,44772.0,9.955970647098065
LAX->DEN,77161.0,10.555540355677154,1937.0,0.2649794801641587,19748.0,2.7015047879616962,17284.0,2.364432284541724,153.0,0.020930232558139535,38039.0,5.203693570451437
STL->LGA,77073.0,18.881185693287605,2025.0,0.49608035276825085,15793.0,3.868936795688388,36873.0,9.033072023517883,0.0,0.0,22382.0,5.483096521313082
DEN->MSP,76871.0,13.13809605195693,4422.0,0.7557682447444881,21710.0,3.7104768415655442,17913.0,3.0615279439412064,0.0,0.0,32826.0,5.610323021705692
PHX->ORD,76773.0,14.293986222304971,2870.0,0.5343511450381679,19254.0,3.5848072984546637,27649.0,5.1478309439582945,121.0,0.022528393222863527,26879.0,5.004468441630981
