ROUTE_BETWEEN_STATES,SUM_OF_ALL_DELAYS,AVERAGE_OF_ALL_DELAYS,SUM_OF_WEATHER_DELAY,AVERAGE_OF_WEATHER_DELAY,SUM_OF_CARRIER_DELAY,AVERAGE_OF_CARRIER_DELAY,SUM_OF_NAS_DELAY,AVERAGE_OF_NAS_DELAY,SUM_OF_SECURITY_DELAY,AVERAGE_OF_SECURITY_DELAY,SUM_OF_LATE_AIRCRAFT_DELAY,AVERAGE_OF_LATE_AIRCRAFT_DELAY
Florida->Arkansas,748.0,25.79310344827586,0.0,0.0,449.0,15.482758620689655,140.0,4.827586206896552,0.0,0.0,159.0,5.482758620689655
Maryland->South Carolina,748.0,7.1923076923076925,0.0,0.0,549.0,5.278846153846154,59.0,0.5673076923076923,0.0,0.0,140.0,1.3461538461538463
Florida->New Hampshire,747.0,5.616541353383458,0.0,0.0,107.0,0.8045112781954887,40.0,0.3007518796992481,0.0,0.0,600.0,4.511278195488722
Oklahoma->Nevada,747.0,6.853211009174312,48.0,0.44036697247706424,19.0,0.1743119266055046,153.0,1.4036697247706422,5.0,0.045871559633027525,522.0,4.7889908256880735
Wisconsin->Pennsylvania,741.0,14.529411764705882,40.0,0.7843137254901961,293.0,5.745098039215686,92.0,1.803921568627451,0.0,0.0,316.0,6.196078431372549
Louisiana->Pennsylvania,736.0,8.658823529411764,0.0,0.0,161.0,1.8941176470588235,95.0,1.1176470588235294,0.0,0.0,480.0,5.647058823529412
Maryland->Puerto Rico,732.0,10.764705882352942,25.0,0.36764705882352944,429.0,6.3088235294117645,207.0,3.0441176470588234,0.0,0.0,71.0,1.0441176470588236
Missouri->Iowa,730.0,12.586206896551724,0.0,0.0,137.0,2.3620689655172415,29.0,0.5,0.0,0.0,564.0,9.724137931034482
Nevada->Wisconsin,730.0,5.887096774193548,0.0,0.0,446.0,3.596774193548387,180.0,1.4516129032258065,0.0,0.0,104.0,0.8387096774193549
Colorado->Arkansas,726.0,13.2,0.0,0.0,477.0,8.672727272727272,108.0,1.9636363636363636,0.0,0.0,141.0,2.5636363636363635
Washington->Georgia,721.0,3.5,389.0,1.8883495145631068,67.0,0.32524271844660196,95.0,0.46116504854368934,0.0,0.0,170.0,0.8252427184466019
Pennsylvania->South Carolina,721.0,7.282828282828283,63.0,0.6363636363636364,102.0,1.0303030303030303,150.0,1.5151515151515151,0.0,0.0,406.0,4.101010101010101
North Dakota->Nevada,719.0,15.630434782608695,4.0,0.08695652173913043,360.0,7.826086956521739,67.0,1.4565217391304348,0.0,0.0,288.0,6.260869565217392
Mississippi->Virginia,711.0,22.93548387096774,73.0,2.3548387096774195,608.0,19.612903225806452,30.0,0.967741935483871,0.0,0.0,0.0,0.0
North Carolina->Arkansas,704.0,3.2744186046511627,23.0,0.10697674418604651,318.0,1.4790697674418605,193.0,0.8976744186046511,0.0,0.0,170.0,0.7906976744186046
Minnesota->Oregon,703.0,6.166666666666667,0.0,0.0,418.0,3.6666666666666665,66.0,0.5789473684210527,0.0,0.0,219.0,1.9210526315789473
Maryland->Virginia,701.0,6.149122807017544,18.0,0.15789473684210525,405.0,3.5526315789473686,12.0,0.10526315789473684,0.0,0.0,266.0,2.3333333333333335
Iowa->Missouri,699.0,12.051724137931034,142.0,2.4482758620689653,280.0,4.827586206896552,123.0,2.1206896551724137,0.0,0.0,154.0,2.6551724137931036
Utah->South Dakota,697.0,22.483870967741936,557.0,17.967741935483872,55.0,1.7741935483870968,85.0,2.7419354838709675,0.0,0.0,0.0,0.0
Georgia->Nebraska,682.0,4.158536585365853,25.0,0.1524390243902439,522.0,3.182926829268293,120.0,0.7317073170731707,0.0,0.0,15.0,0.09146341463414634
New Jersey->Arkansas,681.0,30.954545454545453,10.0,0.45454545454545453,242.0,11.0,78.0,3.5454545454545454,23.0,1.0454545454545454,328.0,14.909090909090908
Nevada->Nebraska,675.0,7.5,0.0,0.0,172.0,1.9111111111111112,201.0,2.2333333333333334,0.0,0.0,302.0,3.3555555555555556
Missouri->Maryland,674.0,4.32051282051282,20.0,0.1282051282051282,122.0,0.782051282051282,139.0,0.8910256410256411,0.0,0.0,393.0,2.519230769230769
U.S. Pacific Trust Territories and Possessions->U.S. Pacific Trust Territories and Possessions,672.0,8.195121951219512,13.0,0.15853658536585366,375.0,4.573170731707317,90.0,1.0975609756097562,0.0,0.0,194.0,2.3658536585365852
Pennsylvania->Utah,669.0,7.271739130434782,0.0,0.0,118.0,1.2826086956521738,268.0,2.9130434782608696,0.0,0.0,283.0,3.0760869565217392
Wisconsin->Utah,668.0,23.03448275862069,351.0,12.10344827586207,0.0,0.0,69.0,2.3793103448275863,0.0,0.0,248.0,8.551724137931034
Rhode Island->Maryland,666.0,4.593103448275862,0.0,0.0,424.0,2.924137931034483,62.0,0.42758620689655175,25.0,0.1724137931034483,155.0,1.0689655172413792
New Jersey->Utah,666.0,10.40625,0.0,0.0,22.0,0.34375,55.0,0.859375,0.0,0.0,589.0,9.203125
