DEST_STATE_NM,SUM_OF_ALL_DELAYS,AVERAGE_OF_ALL_DELAYS,SUM_OF_WEATHER_DELAY,AVERAGE_OF_WEATHER_DELAY,SUM_OF_CARRIER_DELAY,AVERAGE_OF_CARRIER_DELAY,SUM_OF_NAS_DELAY,AVERAGE_OF_NAS_DELAY,SUM_OF_SECURITY_DELAY,AVERAGE_OF_SECURITY_DELAY,SUM_OF_LATE_AIRCRAFT_DELAY,AVERAGE_OF_LATE_AIRCRAFT_DELAY
Louisiana,58472.0,8.59376837154615,3821.0,0.5615814226925337,21020.0,3.0893592004703114,9591.0,1.4096119929453264,41.0,0.006025867136978248,23999.0,3.5271898883009993
Oregon,57845.0,10.096875545470414,4226.0,0.737650549834177,20123.0,3.5124803630651074,8961.0,1.564147320649328,189.0,0.03299005061965439,24346.0,4.249607261302147
Maryland,53082.0,6.82463358189766,3537.0,0.4547441501671381,19491.0,2.505914116739522,10021.0,1.2883774749292878,104.0,0.013371046541527385,19929.0,2.562226793520185
Hawaii,46439.0,5.2550639357247935,2113.0,0.23910829467013692,23309.0,2.6376598393119837,6503.0,0.7358832182867489,55.0,0.006223831617064615,14459.0,1.6361887518388594
South Carolina,39906.0,9.551460028721877,1093.0,0.26160842508377213,15672.0,3.7510770703685976,6840.0,1.6371469602680708,64.0,0.015318334131163236,16237.0,3.8863092388702727
Oklahoma,37514.0,10.835932986712884,4244.0,1.2258809936452917,14177.0,4.095031773541305,4961.0,1.4329867128827267,0.0,0.0,14132.0,4.082033506643558
Puerto Rico,33715.0,13.175068386088316,701.0,0.2739351309105119,13975.0,5.461117624071903,6315.0,2.4677608440797187,85.0,0.03321610003907777,12639.0,4.939038686987105
Alabama,28825.0,9.669573968466958,1229.0,0.4122777591412278,10936.0,3.6685675947668566,3864.0,1.296209325729621,141.0,0.047299563904729953,12655.0,4.245219724924522
Connecticut,27709.0,11.277574277574278,3281.0,1.3353683353683354,10863.0,4.4212454212454215,3294.0,1.3406593406593406,104.0,0.042328042328042326,10167.0,4.137973137973138
Iowa,27035.0,11.548483554036736,3569.0,1.5245621529261,6728.0,2.873985476292183,6039.0,2.579666809055959,0.0,0.0,10699.0,4.570269115762494
Nebraska,22512.0,9.302479338842975,1742.0,0.7198347107438017,7921.0,3.273140495867769,4647.0,1.9202479338842975,0.0,0.0,8202.0,3.3892561983471072
North Dakota,21675.0,17.52223120452708,5089.0,4.113985448666128,9048.0,7.314470493128537,2940.0,2.3767178658043653,0.0,0.0,4598.0,3.717057396928052
Arkansas,21025.0,8.99272882805817,1995.0,0.8532934131736527,7585.0,3.244225834046193,3888.0,1.6629597946963217,23.0,0.009837467921300257,7534.0,3.2224123182207016
New Mexico,19521.0,9.697466467958272,415.0,0.20615996025832092,10292.0,5.112767014406359,2062.0,1.0243417784401392,40.0,0.01987083954297069,6712.0,3.3343268753104818
Alaska,18396.0,6.3390764989662305,1350.0,0.4651964162646451,6628.0,2.2839421088904204,3424.0,1.1798759476223295,38.0,0.013094417643004824,6956.0,2.3969676085458302
Kansas,18338.0,14.588703261734288,2044.0,1.6260938743038982,6752.0,5.371519490851233,2632.0,2.09387430389817,0.0,0.0,6910.0,5.497215592680987
Idaho,16517.0,7.689478584729981,1094.0,0.5093109869646183,6261.0,2.914804469273743,2124.0,0.9888268156424581,35.0,0.016294227188081937,7003.0,3.26024208566108
Maine,16310.0,17.63243243243243,2331.0,2.52,5415.0,5.854054054054054,1881.0,2.0335135135135136,7.0,0.0075675675675675675,6676.0,7.217297297297297
Rhode Island,14966.0,11.045018450184502,405.0,0.2988929889298893,5726.0,4.225830258302583,3028.0,2.2346863468634686,0.0,0.0,5807.0,4.285608856088561
South Dakota,14602.0,15.854505971769816,2387.0,2.591748099891422,3864.0,4.195439739413681,2425.0,2.6330076004343104,0.0,0.0,5926.0,6.434310532030402
Vermont,14333.0,19.906944444444445,1083.0,1.5041666666666667,3806.0,5.286111111111111,3076.0,4.272222222222222,0.0,0.0,6368.0,8.844444444444445
Mississippi,14045.0,11.173428798727128,724.0,0.5759745425616547,4432.0,3.5258552108194112,1924.0,1.5306284805091488,30.0,0.02386634844868735,6935.0,5.517104216388226
Montana,13804.0,8.998696219035201,2177.0,1.4191655801825294,4228.0,2.75619295958279,2596.0,1.6923076923076923,0.0,0.0,4803.0,3.1310299869621905
Wyoming,11707.0,15.651069518716577,2641.0,3.5307486631016043,3209.0,4.290106951871658,2820.0,3.770053475935829,0.0,0.0,3037.0,4.060160427807487
West Virginia,5895.0,12.332635983263598,199.0,0.41631799163179917,2402.0,5.02510460251046,559.0,1.1694560669456067,0.0,0.0,2735.0,5.7217573221757325
New Hampshire,5848.0,9.024691358024691,437.0,0.6743827160493827,1595.0,2.4614197530864197,778.0,1.2006172839506173,0.0,0.0,3038.0,4.688271604938271
U.S. Virgin Islands,5375.0,12.299771167048055,12.0,0.02745995423340961,2357.0,5.393592677345538,1086.0,2.48512585812357,12.0,0.02745995423340961,1908.0,4.366132723112128
U.S. Pacific Trust Territories and Possessions,848.0,6.838709677419355,13.0,0.10483870967741936,428.0,3.4516129032258065,125.0,1.0080645161290323,0.0,0.0,282.0,2.274193548387097
