DEST_AIRPORT_SEQ_ID,ORIGIN_AIRPORT_SEQ_ID,YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_NM,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_NM,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,DISTANCE,DISTANCE_GROUP,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,_c45,ORIGIN_LATITUDE,ORIGIN_LONGITUDE,ORIGIN_UTC_LOCAL_TIME_VARIATION,DEST_LATITUDE,DEST_LONGITUDE,DEST_UTC_LOCAL_TIME_VARIATION,WHEELS_OFF_UTC_DATETIME,WHEELS_ON_UTC_DATETIME
1330303,1319801,2019,2,5,25,6,2019-05-25T00:00:00.000Z,YX,20452,N412YX,4695,13198,MCI,"Kansas City, MO",MO,Missouri,13303,MIA,"Miami, FL",FL,Florida,615,610,-5.0,10.0,620,1007,9.0,1024,1016,-8.0,0.0,"",0.0,189.0,186.0,167.0,1251.0,6,"","","","","","",39.2975,-94.71388889,-600,25.79527778,-80.29,-500,2019-05-25T12:20:00.000Z,2019-05-25T15:07:00.000Z
1226603,1071302,2019,2,5,25,6,2019-05-25T00:00:00.000Z,YV,20378,N87353,6016,10713,BOI,"Boise, ID",ID,Idaho,12266,IAH,"Houston, TX",TX,Texas,640,637,-3.0,9.0,646,1054,12.0,1115,1106,-9.0,0.0,"",0.0,215.0,209.0,188.0,1482.0,6,"","","","","","",43.56444444,-116.22277778,-700,29.98444444,-95.34138889,-600,2019-05-25T13:46:00.000Z,2019-05-25T16:54:00.000Z
1226402,1129806,2019,2,5,25,6,2019-05-25T00:00:00.000Z,YV,20378,N89313,6076,11298,DFW,"Dallas/Fort Worth, TX",TX,Texas,12264,IAD,"Washington, DC",VA,Virginia,745,755,10.0,13.0,808,1132,5.0,1144,1137,-7.0,0.0,"",0.0,179.0,162.0,144.0,1172.0,5,"","","","","","",32.89722222,-97.03777778,-600,38.9475,-77.46,-500,2019-05-25T14:08:00.000Z,2019-05-25T16:32:00.000Z
1226603,1105703,2019,2,5,25,6,2019-05-25T00:00:00.000Z,YV,20378,N87318,6192,11057,CLT,"Charlotte, NC",NC,North Carolina,12266,IAH,"Houston, TX",TX,Texas,900,855,-5.0,16.0,911,1023,9.0,1054,1032,-22.0,0.0,"",0.0,174.0,157.0,132.0,912.0,4,"","","","","","",35.21361111,-80.94916667,-500,29.98444444,-95.34138889,-600,2019-05-25T14:11:00.000Z,2019-05-25T16:23:00.000Z
1226402,1319801,2019,2,5,25,6,2019-05-25T00:00:00.000Z,YV,20378,N505MJ,6153,13198,MCI,"Kansas City, MO",MO,Missouri,12264,IAD,"Washington, DC",VA,Virginia,800,755,-5.0,14.0,809,1100,5.0,1119,1105,-14.0,0.0,"",0.0,139.0,130.0,111.0,926.0,4,"","","","","","",39.2975,-94.71388889,-600,38.9475,-77.46,-500,2019-05-25T14:09:00.000Z,2019-05-25T16:00:00.000Z
1226603,1199603,2019,2,5,25,6,2019-05-25T00:00:00.000Z,YV,20378,N85354,6027,11996,GSP,"Greer, SC",SC,South Carolina,12266,IAH,"Houston, TX",TX,Texas,930,923,-7.0,10.0,933,1041,6.0,1113,1047,-26.0,0.0,"",0.0,163.0,144.0,128.0,837.0,4,"","","","","","",34.89555556,-82.21888889,-500,29.98444444,-95.34138889,-600,2019-05-25T14:33:00.000Z,2019-05-25T16:41:00.000Z
1226603,1042302,2019,2,5,25,6,2019-05-25T00:00:00.000Z,YV,20378,N87345,6219,10423,AUS,"Austin, TX",TX,Texas,12266,IAH,"Houston, TX",TX,Texas,845,841,-4.0,10.0,851,919,18.0,943,937,-6.0,0.0,"",0.0,58.0,56.0,28.0,140.0,1,"","","","","","",30.19444444,-97.67,-600,29.98444444,-95.34138889,-600,2019-05-25T14:51:00.000Z,2019-05-25T15:19:00.000Z
1226603,1052906,2019,2,5,25,6,2019-05-25T00:00:00.000Z,YV,20378,N88346,6236,10529,BDL,"Hartford, CT",CT,Connecticut,12266,IAH,"Houston, TX",TX,Texas,800,754,-6.0,16.0,810,1036,11.0,1112,1047,-25.0,0.0,"",0.0,252.0,233.0,206.0,1507.0,7,"","","","","","",41.93916667,-72.68333333,-500,29.98444444,-95.34138889,-600,2019-05-25T13:10:00.000Z,2019-05-25T16:36:00.000Z
1295304,1129806,2019,2,5,25,6,2019-05-25T00:00:00.000Z,AA,19805,N854NN,1330,11298,DFW,"Dallas/Fort Worth, TX",TX,Texas,12953,LGA,"New York, NY",NY,New York,637,631,-6.0,12.0,643,1043,4.0,1102,1047,-15.0,0.0,"",0.0,205.0,196.0,180.0,1389.0,6,"","","","","","",32.89722222,-97.03777778,-600,40.77722222,-73.8725,-500,2019-05-25T12:43:00.000Z,2019-05-25T15:43:00.000Z
1330303,1127805,2019,2,5,25,6,2019-05-25T00:00:00.000Z,AA,19805,N905NN,1340,11278,DCA,"Washington, DC",VA,Virginia,13303,MIA,"Miami, FL",FL,Florida,759,755,-4.0,12.0,807,1006,22.0,1056,1028,-28.0,0.0,"",0.0,177.0,153.0,119.0,919.0,4,"","","","","","",38.85138889,-77.03777778,-500,25.79527778,-80.29,-500,2019-05-25T13:07:00.000Z,2019-05-25T15:06:00.000Z
1129806,1099402,2019,2,5,25,6,2019-05-25T00:00:00.000Z,AA,19805,N949AN,1344,10994,CHS,"Charleston, SC",SC,South Carolina,11298,DFW,"Dallas/Fort Worth, TX",TX,Texas,734,732,-2.0,14.0,746,908,14.0,924,922,-2.0,0.0,"",0.0,170.0,170.0,142.0,987.0,4,"","","","","","",32.89861111,-80.04055556,-500,32.89722222,-97.03777778,-600,2019-05-25T12:46:00.000Z,2019-05-25T15:08:00.000Z
1530402,1129806,2019,2,5,25,6,2019-05-25T00:00:00.000Z,AA,19805,N966TW,1351,11298,DFW,"Dallas/Fort Worth, TX",TX,Texas,15304,TPA,"Tampa, FL",FL,Florida,720,726,6.0,14.0,740,1043,2.0,1046,1045,-1.0,0.0,"",0.0,146.0,139.0,123.0,929.0,4,"","","","","","",32.89722222,-97.03777778,-600,27.97555556,-82.53333333,-500,2019-05-25T13:40:00.000Z,2019-05-25T15:43:00.000Z
1410702,1161802,2019,2,5,25,6,2019-05-25T00:00:00.000Z,AA,19805,N917NN,1352,11618,EWR,"Newark, NJ",NJ,New Jersey,14107,PHX,"Phoenix, AZ",AZ,Arizona,700,707,7.0,13.0,720,918,5.0,925,923,-2.0,0.0,"",0.0,325.0,316.0,298.0,2133.0,9,"","","","","","",40.6925,-74.16861111,-500,33.43416667,-112.01166667,-700,2019-05-25T12:20:00.000Z,2019-05-25T16:18:00.000Z
1468305,1129806,2019,2,5,25,6,2019-05-25T00:00:00.000Z,AA,19805,N942AN,1358,11298,DFW,"Dallas/Fort Worth, TX",TX,Texas,14683,SAT,"San Antonio, TX",TX,Texas,844,846,2.0,19.0,905,948,4.0,953,952,-1.0,0.0,"",0.0,69.0,66.0,43.0,247.0,1,"","","","","","",32.89722222,-97.03777778,-600,29.53388889,-98.46916667,-600,2019-05-25T15:05:00.000Z,2019-05-25T15:48:00.000Z
1129806,1457002,2019,2,5,25,6,2019-05-25T00:00:00.000Z,AA,19805,N953NN,1361,14570,RNO,"Reno, NV",NV,Nevada,11298,DFW,"Dallas/Fort Worth, TX",TX,Texas,610,613,3.0,11.0,624,1104,20.0,1123,1124,1.0,0.0,"",0.0,193.0,191.0,160.0,1345.0,6,"","","","","","",39.49916667,-119.76805556,-800,32.89722222,-97.03777778,-600,2019-05-25T14:24:00.000Z,2019-05-25T17:04:00.000Z
1410005,1467903,2019,2,5,25,6,2019-05-25T00:00:00.000Z,AA,19805,N836NN,1367,14679,SAN,"San Diego, CA",CA,California,14100,PHL,"Philadelphia, PA",PA,Pennsylvania,610,607,-3.0,27.0,634,1358,8.0,1430,1406,-24.0,0.0,"",0.0,320.0,299.0,264.0,2370.0,10,"","","","","","",32.73361111,-117.18972222,-800,39.87194444,-75.24055556,-500,2019-05-25T14:34:00.000Z,2019-05-25T18:58:00.000Z
1288903,1330303,2019,2,5,25,6,2019-05-25T00:00:00.000Z,AA,19805,N349AN,1368,13303,MIA,"Miami, FL",FL,Florida,12889,LAS,"Las Vegas, NV",NV,Nevada,846,846,0.0,19.0,905,1046,7.0,1106,1053,-13.0,0.0,"",0.0,320.0,307.0,281.0,2174.0,9,"","","","","","",25.79527778,-80.29,-500,36.08,-115.15222222,-800,2019-05-25T14:05:00.000Z,2019-05-25T18:46:00.000Z
1129806,1530402,2019,2,5,25,6,2019-05-25T00:00:00.000Z,AA,19805,N554UW,1369,15304,TPA,"Tampa, FL",FL,Florida,11298,DFW,"Dallas/Fort Worth, TX",TX,Texas,750,801,11.0,10.0,811,926,15.0,940,941,1.0,0.0,"",0.0,170.0,160.0,135.0,929.0,4,"","","","","","",27.97555556,-82.53333333,-500,32.89722222,-97.03777778,-600,2019-05-25T13:11:00.000Z,2019-05-25T15:26:00.000Z
1161802,1129806,2019,2,5,25,6,2019-05-25T00:00:00.000Z,AA,19805,N815NN,1382,11298,DFW,"Dallas/Fort Worth, TX",TX,Texas,11618,EWR,"Newark, NJ",NJ,New Jersey,729,808,39.0,11.0,819,1211,3.0,1200,1214,14.0,0.0,"",0.0,211.0,186.0,172.0,1372.0,6,"","","","","","",32.89722222,-97.03777778,-600,40.6925,-74.16861111,-500,2019-05-25T14:19:00.000Z,2019-05-25T17:11:00.000Z
1393007,1530402,2019,2,5,25,6,2019-05-25T00:00:00.000Z,AA,19805,N342PM,1393,15304,TPA,"Tampa, FL",FL,Florida,13930,ORD,"Chicago, IL",IL,Illinois,845,846,1.0,10.0,856,1011,10.0,1046,1021,-25.0,0.0,"",0.0,181.0,155.0,135.0,1011.0,5,"","","","","","",27.97555556,-82.53333333,-500,41.97444444,-87.90666667,-600,2019-05-25T13:56:00.000Z,2019-05-25T16:11:00.000Z
1252306,1482805,2019,2,5,25,6,2019-05-25T00:00:00.000Z,AS,19930,N644AS,73,14828,SIT,"Sitka, AK",AK,Alaska,12523,JNU,"Juneau, AK",AK,Alaska,605,550,-15.0,9.0,559,620,5.0,640,625,-15.0,0.0,"",0.0,35.0,35.0,21.0,95.0,1,"","","","","","",57.04694444,-135.36111111,-900,58.35472222,-134.57833333,-900,2019-05-25T14:59:00.000Z,2019-05-25T15:20:00.000Z
1029906,1474703,2019,2,5,25,6,2019-05-25T00:00:00.000Z,AS,19930,N277AK,81,14747,SEA,"Seattle, WA",WA,Washington,10299,ANC,"Anchorage, AK",AK,Alaska,600,549,-11.0,15.0,604,824,3.0,840,827,-13.0,0.0,"",0.0,220.0,218.0,200.0,1448.0,6,"","","","","","",47.45,-122.31166667,-800,61.17416667,-149.99805556,-900,2019-05-25T14:04:00.000Z,2019-05-25T17:24:00.000Z
1474703,1039707,2019,2,5,25,6,2019-05-25T00:00:00.000Z,AS,19930,N270AK,85,10397,ATL,"Atlanta, GA",GA,Georgia,14747,SEA,"Seattle, WA",WA,Washington,625,635,10.0,19.0,654,845,15.0,845,900,15.0,0.0,"",0.0,320.0,325.0,291.0,2182.0,9,10.0,0.0,5.0,0.0,0.0,"",33.63666667,-84.42777778,-500,47.45,-122.31166667,-800,2019-05-25T11:54:00.000Z,2019-05-25T16:45:00.000Z
1029906,1163002,2019,2,5,25,6,2019-05-25T00:00:00.000Z,AS,19930,N619AS,86,11630,FAI,"Fairbanks, AK",AK,Alaska,10299,ANC,"Anchorage, AK",AK,Alaska,600,542,-18.0,9.0,551,635,3.0,700,638,-22.0,0.0,"",0.0,60.0,56.0,44.0,261.0,2,"","","","","","",64.815,-147.85638889,-900,61.17416667,-149.99805556,-900,2019-05-25T14:51:00.000Z,2019-05-25T15:35:00.000Z
1474703,1029906,2019,2,5,25,6,2019-05-25T00:00:00.000Z,AS,19930,N318AS,88,10299,ANC,"Anchorage, AK",AK,Alaska,14747,SEA,"Seattle, WA",WA,Washington,600,553,-7.0,12.0,605,955,10.0,1030,1005,-25.0,0.0,"",0.0,210.0,192.0,170.0,1448.0,6,"","","","","","",61.17416667,-149.99805556,-900,47.45,-122.31166667,-800,2019-05-25T15:05:00.000Z,2019-05-25T17:55:00.000Z
1474703,1029906,2019,2,5,25,6,2019-05-25T00:00:00.000Z,AS,19930,N517AS,92,10299,ANC,"Anchorage, AK",AK,Alaska,14747,SEA,"Seattle, WA",WA,Washington,400,424,24.0,10.0,434,819,12.0,830,831,1.0,0.0,"",0.0,210.0,187.0,165.0,1448.0,6,"","","","","","",61.17416667,-149.99805556,-900,47.45,-122.31166667,-800,2019-05-25T13:34:00.000Z,2019-05-25T16:19:00.000Z
1474703,1163002,2019,2,5,25,6,2019-05-25T00:00:00.000Z,AS,19930,N407AS,126,11630,FAI,"Fairbanks, AK",AK,Alaska,14747,SEA,"Seattle, WA",WA,Washington,530,523,-7.0,12.0,535,935,30.0,1010,1005,-5.0,0.0,"",0.0,220.0,222.0,180.0,1533.0,7,"","","","","","",64.815,-147.85638889,-900,47.45,-122.31166667,-800,2019-05-25T14:35:00.000Z,2019-05-25T17:35:00.000Z
1163002,1029906,2019,2,5,25,6,2019-05-25T00:00:00.000Z,AS,19930,N615AS,127,10299,ANC,"Anchorage, AK",AK,Alaska,11630,FAI,"Fairbanks, AK",AK,Alaska,605,555,-10.0,9.0,604,645,3.0,700,648,-12.0,0.0,"",0.0,55.0,53.0,41.0,261.0,2,"","","","","","",61.17416667,-149.99805556,-900,64.815,-147.85638889,-900,2019-05-25T15:04:00.000Z,2019-05-25T15:45:00.000Z
1163002,1474703,2019,2,5,25,6,2019-05-25T00:00:00.000Z,AS,19930,N288AK,133,14747,SEA,"Seattle, WA",WA,Washington,11630,FAI,"Fairbanks, AK",AK,Alaska,645,625,-20.0,13.0,638,858,3.0,930,901,-29.0,0.0,"",0.0,225.0,216.0,200.0,1533.0,7,"","","","","","",47.45,-122.31166667,-800,64.815,-147.85638889,-900,2019-05-25T14:38:00.000Z,2019-05-25T17:58:00.000Z
1289208,1161802,2019,2,5,25,6,2019-05-25T00:00:00.000Z,AS,19930,N247AK,135,11618,EWR,"Newark, NJ",NJ,New Jersey,12892,LAX,"Los Angeles, CA",CA,California,730,725,-5.0,25.0,750,1021,22.0,1040,1043,3.0,0.0,"",0.0,370.0,378.0,331.0,2454.0,10,"","","","","","",40.6925,-74.16861111,-500,33.9425,-118.40805556,-800,2019-05-25T12:50:00.000Z,2019-05-25T18:21:00.000Z
