ORIGIN_CITY_NAME,SUM_OF_ALL_DELAYS,AVERAGE_OF_ALL_DELAYS,SUM_OF_WEATHER_DELAY,AVERAGE_OF_WEATHER_DELAY,SUM_OF_CARRIER_DELAY,AVERAGE_OF_CARRIER_DELAY,SUM_OF_NAS_DELAY,AVERAGE_OF_NAS_DELAY,SUM_OF_SECURITY_DELAY,AVERAGE_OF_SECURITY_DELAY,SUM_OF_LATE_AIRCRAFT_DELAY,AVERAGE_OF_LATE_AIRCRAFT_DELAY
"Laramie, WY",14545.0,23.272,1066.0,1.7056,5123.0,8.1968,5391.0,8.6256,22.0,0.0352,2943.0,4.7088
"Quincy, IL",14515.0,23.003169572107765,760.0,1.2044374009508716,4300.0,6.814580031695721,4362.0,6.91283676703645,0.0,0.0,5093.0,8.071315372424722
"Wichita Falls, TX",14438.0,11.476947535771066,1266.0,1.0063593004769475,5251.0,4.174085850556438,2419.0,1.9228934817170111,0.0,0.0,5502.0,4.373608903020668
"Aberdeen, SD",14401.0,19.201333333333334,2109.0,2.812,7257.0,9.676,1027.0,1.3693333333333333,26.0,0.034666666666666665,3982.0,5.309333333333333
"Gillette, WY",14379.0,18.625647668393782,910.0,1.1787564766839378,5277.0,6.835492227979275,3751.0,4.858808290155441,0.0,0.0,4441.0,5.7525906735751295
"Columbus, GA",14354.0,11.266875981161695,980.0,0.7692307692307693,4702.0,3.6907378335949765,1742.0,1.3673469387755102,0.0,0.0,6930.0,5.43956043956044
"Iron Mountain/Kingsfd, MI",14278.0,21.058997050147493,2392.0,3.528023598820059,4955.0,7.308259587020649,717.0,1.0575221238938053,0.0,0.0,6214.0,9.165191740412979
"Albany, GA",13984.0,13.914427860696517,1291.0,1.2845771144278606,4961.0,4.936318407960199,709.0,0.7054726368159204,28.0,0.027860696517412936,6995.0,6.960199004975125
"Muskegon, MI",13887.0,19.10178817056396,348.0,0.4786795048143054,6272.0,8.627235213204951,3129.0,4.3039889958734525,0.0,0.0,4138.0,5.691884456671252
"Pierre, SD",13473.0,20.506849315068493,2982.0,4.538812785388128,3231.0,4.917808219178082,1734.0,2.6392694063926943,19.0,0.0289193302891933,5507.0,8.382039573820396
"Moab, UT",13473.0,21.626003210272874,523.0,0.8394863563402889,3880.0,6.22792937399679,2276.0,3.653290529695024,0.0,0.0,6794.0,10.905296950240771
"Escanaba, MI",13473.0,21.5568,431.0,0.6896,3026.0,4.8416,969.0,1.5504,8.0,0.0128,9039.0,14.4624
"Provo, UT",13438.0,18.383036935704514,552.0,0.7551299589603283,6033.0,8.253077975376197,844.0,1.1545827633378933,0.0,0.0,6009.0,8.220246238030096
"Ashland, WV",13414.0,18.866385372714486,1233.0,1.7341772151898733,2851.0,4.009845288326301,1278.0,1.7974683544303798,33.0,0.046413502109704644,8019.0,11.278481012658228
"Hattiesburg/Laurel, MS",13332.0,18.80394922425952,981.0,1.383638928067701,4968.0,7.007052186177715,860.0,1.2129760225669957,22.0,0.031029619181946404,6501.0,9.169252468265162
"Sault Ste. Marie, MI",13252.0,19.574593796159526,2471.0,3.649926144756278,3769.0,5.567208271787297,834.0,1.2319054652880355,579.0,0.8552437223042836,5599.0,8.270310192023633
"Prescott, AZ",13182.0,17.886024423337854,690.0,0.9362279511533242,5205.0,7.062415196743555,3385.0,4.592944369063772,16.0,0.021709633649932156,3886.0,5.2727272727272725
"North Bend/Coos Bay, OR",13133.0,34.28981723237598,53.0,0.13838120104438642,3042.0,7.942558746736292,2947.0,7.6945169712793735,22.0,0.057441253263707574,7069.0,18.45691906005222
