DEST_CITY_NAME,SUM_OF_ALL_DELAYS,AVERAGE_OF_ALL_DELAYS,MIN_OF_ALL_DELAYS,MAX_OF_ALL_DELAYS,SUM_OF_WEATHER_DELAY,AVERAGE_OF_WEATHER_DELAY,MIN_OF_WEATHER_DELAY,MAX_OF_WEATHER_DELAY,SUM_OF_CARRIER_DELAY,AVERAGE_OF_CARRIER_DELAY,MIN_OF_CARRIER_DELAY,MAX_OF_CARRIER_DELAY,SUM_OF_NAS_DELAY,AVERAGE_OF_NAS_DELAY,MIN_OF_NAS_DELAY,MAX_OF_NAS_DELAY,SUM_OF_SECURITY_DELAY,AVERAGE_OF_SECURITY_DELAY,MIN_OF_SECURITY_DELAY,MAX_OF_SECURITY_DELAY,SUM_OF_LATE_AIRCRAFT_DELAY,AVERAGE_OF_LATE_AIRCRAFT_DELAY,MIN_OF_LATE_AIRCRAFT_DELAY,MAX_OF_LATE_AIRCRAFT_DELAY
"Manhattan/Ft. Riley, KS",25514.0,12.86636409480585,0.0,990.0,1782.0,0.8986384266263238,0.0,159.0,8144.0,4.10690872415532,0.0,987.0,6278.0,3.165910237014624,0.0,185.0,0.0,0.0,0.0,0.0,9310.0,4.694906707009581,0.0,239.0
"Nantucket, MA",24875.0,20.815899581589957,0.0,595.0,3990.0,3.3389121338912133,0.0,412.0,8679.0,7.262761506276151,0.0,406.0,2124.0,1.7774058577405858,0.0,136.0,0.0,0.0,0.0,0.0,10082.0,8.436820083682008,0.0,386.0
"Redding, CA",24668.0,17.734004313443567,0.0,904.0,825.0,0.5930984902947519,0.0,659.0,11872.0,8.534867002156721,0.0,904.0,1929.0,1.3867721063982745,0.0,153.0,0.0,0.0,0.0,0.0,10042.0,7.219266714593817,0.0,323.0
"Meridian, MS",24636.0,25.241803278688526,0.0,977.0,1117.0,1.1444672131147542,0.0,218.0,11584.0,11.868852459016393,0.0,961.0,3008.0,3.081967213114754,0.0,94.0,7.0,0.007172131147540984,0.0,4.0,8920.0,9.139344262295081,0.0,261.0
"Kalispell, MT",24533.0,8.070065789473684,0.0,826.0,1932.0,0.6355263157894737,0.0,173.0,8881.0,2.9213815789473685,0.0,826.0,4057.0,1.3345394736842104,0.0,602.0,25.0,0.008223684210526315,0.0,25.0,9638.0,3.170394736842105,0.0,742.0
"Worcester, MA",24399.0,19.676612903225806,0.0,509.0,1231.0,0.992741935483871,0.0,398.0,12344.0,9.95483870967742,0.0,509.0,2490.0,2.0080645161290325,0.0,306.0,155.0,0.125,0.0,83.0,8179.0,6.595967741935484,0.0,314.0
"Grand Forks, ND",23810.0,11.268338854708945,0.0,893.0,6974.0,3.3005205868433505,0.0,879.0,5977.0,2.828679602460956,0.0,507.0,3403.0,1.6105063890203501,0.0,562.0,100.0,0.047326076668244205,0.0,46.0,7356.0,3.4813061997160437,0.0,343.0
"Jamestown, ND",22828.0,23.058585858585857,0.0,841.0,4451.0,4.495959595959596,0.0,708.0,11290.0,11.404040404040405,0.0,836.0,1940.0,1.9595959595959596,0.0,684.0,0.0,0.0,0.0,0.0,5147.0,5.198989898989899,0.0,301.0
"Salina, KS",22823.0,24.305644302449416,0.0,1094.0,836.0,0.8903088391906283,0.0,209.0,10680.0,11.373801916932907,0.0,1023.0,1948.0,2.0745473908413206,0.0,107.0,0.0,0.0,0.0,0.0,9359.0,9.966986155484559,0.0,1094.0
"Toledo, OH",22798.0,10.887297039159503,0.0,613.0,3219.0,1.5372492836676217,0.0,529.0,5502.0,2.627507163323782,0.0,517.0,3236.0,1.545367717287488,0.0,97.0,0.0,0.0,0.0,0.0,10841.0,5.177172874880611,0.0,495.0
