ROUTE_BETWEEN_CITIES,SUM_OF_ALL_DELAYS,AVERAGE_OF_ALL_DELAYS,SUM_OF_WEATHER_DELAY,AVERAGE_OF_WEATHER_DELAY,SUM_OF_CARRIER_DELAY,AVERAGE_OF_CARRIER_DELAY,SUM_OF_NAS_DELAY,AVERAGE_OF_NAS_DELAY,SUM_OF_SECURITY_DELAY,AVERAGE_OF_SECURITY_DELAY,SUM_OF_LATE_AIRCRAFT_DELAY,AVERAGE_OF_LATE_AIRCRAFT_DELAY
"Eagle, CO -> Houston, TX",2143.0,24.078651685393258,36.0,0.4044943820224719,55.0,0.6179775280898876,189.0,2.1235955056179776,0.0,0.0,1863.0,20.93258426966292
"Kansas City, MO -> Austin, TX",2141.0,6.152298850574713,8.0,0.022988505747126436,489.0,1.4051724137931034,586.0,1.6839080459770115,0.0,0.0,1058.0,3.0402298850574714
"Salt Lake City, UT -> Madison, WI",2140.0,7.086092715231788,58.0,0.19205298013245034,555.0,1.8377483443708609,189.0,0.6258278145695364,0.0,0.0,1338.0,4.430463576158941
"Orlando, FL -> Rochester, NY",2140.0,5.691489361702128,66.0,0.17553191489361702,1272.0,3.382978723404255,114.0,0.30319148936170215,236.0,0.6276595744680851,452.0,1.202127659574468
"Tallahassee, FL -> Washington, DC",2130.0,5.835616438356165,0.0,0.0,1733.0,4.747945205479452,327.0,0.8958904109589041,0.0,0.0,70.0,0.1917808219178082
"Monterey, CA -> Las Vegas, NV",2129.0,18.04237288135593,135.0,1.1440677966101696,891.0,7.5508474576271185,200.0,1.694915254237288,56.0,0.4745762711864407,847.0,7.177966101694915
"Medford, OR -> Salt Lake City, UT",2128.0,10.534653465346535,764.0,3.782178217821782,617.0,3.0544554455445545,6.0,0.0297029702970297,0.0,0.0,741.0,3.6683168316831685
"Valparaiso, FL -> Oklahoma City, OK",2126.0,16.353846153846153,0.0,0.0,614.0,4.723076923076923,401.0,3.0846153846153848,0.0,0.0,1111.0,8.546153846153846
"Eugene, OR -> Seattle, WA",2122.0,10.251207729468598,720.0,3.4782608695652173,23.0,0.1111111111111111,138.0,0.6666666666666666,0.0,0.0,1241.0,5.995169082125604
"Yakutat, AK -> Juneau, AK",2121.0,5.875346260387811,60.0,0.16620498614958448,481.0,1.332409972299169,277.0,0.7673130193905817,27.0,0.07479224376731301,1276.0,3.5346260387811634
"Denver, CO -> Pensacola, FL",2121.0,10.552238805970148,223.0,1.109452736318408,321.0,1.5970149253731343,772.0,3.8407960199004973,0.0,0.0,805.0,4.0049751243781095
"Chattanooga, TN -> St. Petersburg, FL",2120.0,18.596491228070175,32.0,0.2807017543859649,997.0,8.74561403508772,125.0,1.0964912280701755,0.0,0.0,966.0,8.473684210526315
"Knoxville, TN -> Denver, CO",2111.0,9.595454545454546,282.0,1.2818181818181817,392.0,1.7818181818181817,863.0,3.922727272727273,25.0,0.11363636363636363,549.0,2.4954545454545456
"San Juan, PR -> Raleigh/Durham, NC",2108.0,13.341772151898734,25.0,0.15822784810126583,208.0,1.3164556962025316,685.0,4.3354430379746836,4.0,0.02531645569620253,1186.0,7.506329113924051
