ROUTE BETWEEN STATES,SUM OF ALL DELAYS,AVERAGE OF ALL DELAYS,MIN OF ALL DELAYS,MAX OF ALL DELAYS,SUM OF WEATHER DELAY,AVERAGE OF WEATHER DELAY,MIN OF WEATHER DELAY,MAX OF WEATHER DELAY,SUM OF CARRIER DELAY,AVERAGE OF CARRIER DELAY,MIN OF CARRIER DELAY,MAX OF CARRIER DELAY,SUM OF NAS DELAY,AVERAGE OF NAS DELAY,MIN OF NAS DELAY,MAX OF NAS DELAY,SUM OF SECURITY DELAY,AVERAGE OF SECURITY DELAY,MIN OF SECURITY DELAY,MAX OF SECURITY DELAY,SUM OF LATE AIRCRAFT DELAY,AVERAGE OF LATE AIRCRAFT DELAY,MIN OF LATE AIRCRAFT DELAY,MAX OF LATE AIRCRAFT DELAY
Hawaii -> California,356883.0,12.292322529535356,0.0,1928.0,2418.0,0.08328453828402163,0.0,241.0,188590.0,6.495711776254606,0.0,1928.0,34028.0,1.1720456032790274,0.0,156.0,4988.0,0.17180449832948713,0.0,1078.0,126859.0,4.369476113388213,0.0,1023.0
New York -> New York,355514.0,16.135523986747152,0.0,1167.0,11174.0,0.5071483683565561,0.0,1165.0,85572.0,3.883810647664866,0.0,873.0,100214.0,4.5483592792629235,0.0,1026.0,148.0,0.006717196931874915,0.0,75.0,158406.0,7.189488494530931,0.0,613.0
Virginia -> Florida,349618.0,12.514066862338034,0.0,1029.0,18057.0,0.6463240031498317,0.0,954.0,100067.0,3.581752451857685,0.0,847.0,73133.0,2.617689168873935,0.0,467.0,263.0,0.009413701768201017,0.0,46.0,158098.0,5.658887536688382,0.0,964.0
Massachusetts -> Florida,344684.0,17.59130346024293,0.0,1058.0,14956.0,0.7632948861896499,0.0,802.0,124067.0,6.331887312442585,0.0,834.0,75111.0,3.8333673573542923,0.0,964.0,214.0,0.010921710727773808,0.0,49.0,130336.0,6.651832193528631,0.0,815.0
Texas -> Georgia,325304.0,10.934220698463918,0.0,1148.0,21505.0,0.7228328459547578,0.0,1148.0,121732.0,4.091694396826997,0.0,1129.0,54279.0,1.8244428758697186,0.0,435.0,181.0,0.006083829114987732,0.0,38.0,127607.0,4.289166750697455,0.0,729.0
Michigan -> Michigan,323021.0,15.354898512145267,0.0,1575.0,53590.0,2.5474164567191138,0.0,1575.0,114647.0,5.449778960878453,0.0,1314.0,25005.0,1.1886200503874127,0.0,862.0,433.0,0.020582782716166755,0.0,93.0,129346.0,6.148500261444123,0.0,1066.0
Texas -> Arizona,321842.0,12.90103018399006,0.0,1426.0,17459.0,0.699843668577384,0.0,741.0,125236.0,5.020082575059125,0.0,1426.0,39583.0,1.5866837695915341,0.0,409.0,273.0,0.010943199583116207,0.0,63.0,139291.0,5.583476971178899,0.0,1173.0
Missouri -> Texas,321444.0,14.156786752400247,0.0,1551.0,21526.0,0.94803135735048,0.0,1422.0,84461.0,3.7197657006958513,0.0,1551.0,78876.0,3.473795472562318,0.0,997.0,160.0,0.00704659561349423,0.0,44.0,136421.0,6.008147626178102,0.0,887.0
California -> Oregon,319537.0,9.527610471703738,0.0,1422.0,3561.0,0.10617806667064225,0.0,710.0,116788.0,3.4822589301687636,0.0,1402.0,38147.0,1.1374262031128868,0.0,191.0,1332.0,0.03971614288270022,0.0,152.0,159709.0,4.762031128868746,0.0,535.0
New Jersey -> California,318904.0,22.56289797651054,0.0,1279.0,29457.0,2.0841233904061127,0.0,1239.0,65476.0,4.632517334088015,0.0,906.0,102941.0,7.283217772746569,0.0,460.0,254.0,0.017970850431583415,0.0,222.0,120776.0,8.545068628838262,0.0,855.0
