ORIGIN,SUM OF ALL DELAYS,AVERAGE OF ALL DELAYS,MIN OF ALL DELAYS,MAX OF ALL DELAYS,SUM OF WEATHER DELAY,AVERAGE OF WEATHER DELAY,MIN OF WEATHER DELAY,MAX OF WEATHER DELAY,SUM OF CARRIER DELAY,AVERAGE OF CARRIER DELAY,MIN OF CARRIER DELAY,MAX OF CARRIER DELAY,SUM OF NAS DELAY,AVERAGE OF NAS DELAY,MIN OF NAS DELAY,MAX OF NAS DELAY,SUM OF SECURITY DELAY,AVERAGE OF SECURITY DELAY,MIN OF SECURITY DELAY,MAX OF SECURITY DELAY,SUM OF LATE AIRCRAFT DELAY,AVERAGE OF LATE AIRCRAFT DELAY,MIN OF LATE AIRCRAFT DELAY,MAX OF LATE AIRCRAFT DELAY
CMI,42711.0,14.712710988632448,0.0,1652.0,7467.0,2.5721667240785395,0.0,406.0,12354.0,4.255597657595591,0.0,823.0,8369.0,2.8828797795384085,0.0,334.0,0.0,0.0,0.0,0.0,14521.0,5.0020668274199105,0.0,829.0
PSC,42704.0,14.248915582248916,0.0,1266.0,5111.0,1.7053720387053721,0.0,1265.0,16263.0,5.426426426426427,0.0,1132.0,8756.0,2.921588254921588,0.0,550.0,28.0,0.009342676009342675,0.0,27.0,12546.0,4.186186186186186,0.0,440.0
LRD,41929.0,15.680254300673148,0.0,1218.0,2562.0,0.9581151832460733,0.0,866.0,15199.0,5.68399401645475,0.0,1212.0,11043.0,4.129768137621541,0.0,433.0,7.0,0.002617801047120419,0.0,7.0,13118.0,4.9057591623036645,0.0,333.0
MSO,41109.0,11.68533257532689,0.0,921.0,2755.0,0.7831154064809551,0.0,478.0,12354.0,3.511654349061967,0.0,892.0,10333.0,2.937180216031836,0.0,228.0,22.0,0.0062535531552018195,0.0,19.0,15645.0,4.44712905059693,0.0,831.0
HHH,40569.0,18.176075268817204,0.0,1261.0,2280.0,1.021505376344086,0.0,309.0,14216.0,6.369175627240144,0.0,1261.0,8227.0,3.685931899641577,0.0,1157.0,79.0,0.03539426523297491,0.0,46.0,15767.0,7.064068100358423,0.0,1054.0
MQT,39713.0,28.125354107648725,0.0,1332.0,10503.0,7.438385269121813,0.0,1332.0,13057.0,9.247167138810198,0.0,1161.0,4465.0,3.162181303116147,0.0,475.0,38.0,0.026912181303116147,0.0,38.0,11650.0,8.25070821529745,0.0,922.0
BQN,39182.0,16.991326973113615,0.0,1246.0,96.0,0.04163052905464007,0.0,19.0,4724.0,2.0485689505637468,0.0,1246.0,5068.0,2.1977450130095404,0.0,703.0,73.0,0.03165654813529922,0.0,24.0,29221.0,12.671725932350391,0.0,802.0
LNK,38911.0,17.59882406151063,0.0,1331.0,4317.0,1.9525101763907735,0.0,1331.0,13532.0,6.120307553143374,0.0,1192.0,8046.0,3.639077340569878,0.0,1235.0,0.0,0.0,0.0,0.0,13016.0,5.886928991406603,0.0,486.0
ACK,38553.0,32.261924686192465,0.0,1289.0,263.0,0.2200836820083682,0.0,99.0,9421.0,7.883682008368201,0.0,1186.0,8136.0,6.80836820083682,0.0,403.0,80.0,0.06694560669456066,0.0,27.0,20653.0,17.28284518828452,0.0,910.0
LSE,36106.0,16.419281491587085,0.0,1299.0,5637.0,2.56343792633015,0.0,1299.0,8637.0,3.927694406548431,0.0,871.0,7695.0,3.499317871759891,0.0,724.0,0.0,0.0,0.0,0.0,14137.0,6.428831286948613,0.0,487.0
BRO,35877.0,13.253417066863687,0.0,1430.0,2632.0,0.9722940524565941,0.0,274.0,7463.0,2.7569264868858516,0.0,1161.0,9074.0,3.352050240118212,0.0,1238.0,5.0,0.001847063169560399,0.0,5.0,16703.0,6.170299224233469,0.0,1051.0
