ROUTE BETWEEN CITIES,SUM OF ALL DELAYS,AVERAGE OF ALL DELAYS,MIN OF ALL DELAYS,MAX OF ALL DELAYS,SUM OF WEATHER DELAY,AVERAGE OF WEATHER DELAY,MIN OF WEATHER DELAY,MAX OF WEATHER DELAY,SUM OF CARRIER DELAY,AVERAGE OF CARRIER DELAY,MIN OF CARRIER DELAY,MAX OF CARRIER DELAY,SUM OF NAS DELAY,AVERAGE OF NAS DELAY,MIN OF NAS DELAY,MAX OF NAS DELAY,SUM OF SECURITY DELAY,AVERAGE OF SECURITY DELAY,MIN OF SECURITY DELAY,MAX OF SECURITY DELAY,SUM OF LATE AIRCRAFT DELAY,AVERAGE OF LATE AIRCRAFT DELAY,MIN OF LATE AIRCRAFT DELAY,MAX OF LATE AIRCRAFT DELAY
"Dallas, TX -> Seattle, WA",6865.0,8.99737876802097,0.0,443.0,437.0,0.5727391874180865,0.0,138.0,2518.0,3.3001310615989516,0.0,191.0,1774.0,2.325032765399738,0.0,141.0,55.0,0.07208387942332896,0.0,54.0,2081.0,2.727391874180865,0.0,395.0
"Islip, NY -> Tampa, FL",6862.0,10.396969696969697,0.0,347.0,423.0,0.6409090909090909,0.0,337.0,1679.0,2.543939393939394,0.0,180.0,1958.0,2.966666666666667,0.0,150.0,12.0,0.01818181818181818,0.0,12.0,2790.0,4.2272727272727275,0.0,236.0
"Tampa, FL -> San Francisco, CA",6845.0,13.317120622568094,0.0,1033.0,381.0,0.7412451361867705,0.0,122.0,2053.0,3.9941634241245136,0.0,1033.0,2671.0,5.196498054474708,0.0,239.0,0.0,0.0,0.0,0.0,1740.0,3.385214007782101,0.0,250.0
"Washington, DC -> Tallahassee, FL",6832.0,18.76923076923077,0.0,675.0,201.0,0.5521978021978022,0.0,111.0,2011.0,5.524725274725275,0.0,334.0,980.0,2.6923076923076925,0.0,74.0,0.0,0.0,0.0,0.0,3640.0,10.0,0.0,660.0
"Chicago, IL -> Chattanooga, TN",6827.0,16.49033816425121,0.0,250.0,331.0,0.7995169082125604,0.0,77.0,1845.0,4.456521739130435,0.0,154.0,1399.0,3.3792270531400965,0.0,58.0,0.0,0.0,0.0,0.0,3252.0,7.855072463768116,0.0,209.0
"St. Louis, MO -> Cleveland, OH",6825.0,8.394833948339484,0.0,232.0,139.0,0.17097170971709716,0.0,69.0,2280.0,2.804428044280443,0.0,158.0,327.0,0.4022140221402214,0.0,32.0,0.0,0.0,0.0,0.0,4079.0,5.017220172201722,0.0,222.0
"Boston, MA -> Burbank, CA",6822.0,22.74,0.0,851.0,150.0,0.5,0.0,66.0,2529.0,8.43,0.0,664.0,1483.0,4.943333333333333,0.0,70.0,77.0,0.25666666666666665,0.0,45.0,2583.0,8.61,0.0,441.0
"Salt Lake City, UT -> Pocatello, ID",6811.0,6.248623853211009,0.0,561.0,1672.0,1.5339449541284405,0.0,554.0,3143.0,2.88348623853211,0.0,133.0,409.0,0.37522935779816513,0.0,75.0,0.0,0.0,0.0,0.0,1587.0,1.4559633027522936,0.0,243.0
"Birmingham, AL -> Dallas, TX",6794.0,9.144010767160161,0.0,342.0,39.0,0.052489905787348586,0.0,28.0,1712.0,2.304172274562584,0.0,323.0,944.0,1.2705248990578735,0.0,88.0,262.0,0.35262449528936746,0.0,262.0,3837.0,5.164199192462988,0.0,285.0
"Flagstaff, AZ -> Dallas/Fort Worth, TX",6794.0,12.443223443223443,0.0,741.0,2057.0,3.7673992673992673,0.0,440.0,2467.0,4.518315018315018,0.0,741.0,860.0,1.575091575091575,0.0,141.0,0.0,0.0,0.0,0.0,1410.0,2.5824175824175826,0.0,263.0
"San Antonio, TX -> New Orleans, LA",6790.0,11.706896551724139,0.0,234.0,35.0,0.0603448275862069,0.0,35.0,3071.0,5.294827586206897,0.0,226.0,623.0,1.0741379310344827,0.0,108.0,0.0,0.0,0.0,0.0,3061.0,5.277586206896552,0.0,188.0
"Denver, CO -> Birmingham, AL",6790.0,13.082851637764932,0.0,299.0,305.0,0.5876685934489403,0.0,115.0,2259.0,4.3526011560693645,0.0,299.0,1761.0,3.393063583815029,0.0,78.0,0.0,0.0,0.0,0.0,2465.0,4.749518304431599,0.0,158.0
"San Jose, CA -> Reno, NV",6774.0,4.988217967599411,0.0,246.0,327.0,0.24079528718703977,0.0,104.0,2589.0,1.9064801178203241,0.0,238.0,440.0,0.3240058910162003,0.0,79.0,0.0,0.0,0.0,0.0,3418.0,2.5169366715758468,0.0,246.0
"Buffalo, NY -> Tampa, FL",6771.0,8.932717678100264,0.0,464.0,518.0,0.683377308707124,0.0,419.0,1772.0,2.337730870712401,0.0,356.0,1436.0,1.8944591029023747,0.0,141.0,0.0,0.0,0.0,0.0,3045.0,4.017150395778364,0.0,191.0
"Nashville, TN -> Panama City, FL",6770.0,8.347718865598027,0.0,227.0,138.0,0.17016029593094945,0.0,55.0,2526.0,3.1146732429099875,0.0,197.0,545.0,0.6720098643649816,0.0,58.0,0.0,0.0,0.0,0.0,3561.0,4.390875462392109,0.0,212.0
"San Jose, CA -> Kahului, HI",6769.0,7.405908096280087,0.0,841.0,109.0,0.11925601750547046,0.0,109.0,5469.0,5.983588621444201,0.0,841.0,826.0,0.9037199124726477,0.0,167.0,0.0,0.0,0.0,0.0,365.0,0.3993435448577681,0.0,225.0
"Manchester, NH -> Orlando, FL",6768.0,10.525660964230172,0.0,555.0,0.0,0.0,0.0,0.0,2440.0,3.7947122861586315,0.0,555.0,1594.0,2.47900466562986,0.0,166.0,0.0,0.0,0.0,0.0,2734.0,4.25194401244168,0.0,358.0
"Moline, IL -> Minneapolis, MN",6761.0,13.769857433808554,0.0,664.0,1702.0,3.4663951120162935,0.0,664.0,2398.0,4.883910386965376,0.0,340.0,1254.0,2.5539714867617107,0.0,163.0,0.0,0.0,0.0,0.0,1407.0,2.865580448065173,0.0,236.0
"Las Vegas, NV -> Boise, ID",6761.0,8.165458937198068,0.0,465.0,0.0,0.0,0.0,0.0,2772.0,3.347826086956522,0.0,331.0,679.0,0.8200483091787439,0.0,175.0,3.0,0.0036231884057971015,0.0,3.0,3307.0,3.993961352657005,0.0,213.0
"Chicago, IL -> San Juan, PR",6748.0,7.1710945802337935,0.0,218.0,1181.0,1.255047821466525,0.0,141.0,2803.0,2.97874601487779,0.0,218.0,1536.0,1.6323060573857597,0.0,110.0,0.0,0.0,0.0,0.0,1228.0,1.3049946865037194,0.0,122.0
"St. Petersburg, FL -> Asheville, NC",6740.0,14.159663865546218,0.0,564.0,1515.0,3.1827731092436973,0.0,167.0,1641.0,3.447478991596639,0.0,564.0,1158.0,2.4327731092436973,0.0,232.0,0.0,0.0,0.0,0.0,2426.0,5.0966386554621845,0.0,296.0
"San Juan, PR -> Atlanta, GA",6735.0,4.657676348547718,0.0,506.0,0.0,0.0,0.0,0.0,1824.0,1.2614107883817427,0.0,179.0,1427.0,0.9868603042876902,0.0,73.0,0.0,0.0,0.0,0.0,3484.0,2.409405255878285,0.0,506.0
"San Juan, PR -> Houston, TX",6735.0,8.345724907063197,0.0,393.0,0.0,0.0,0.0,0.0,1639.0,2.030978934324659,0.0,391.0,1154.0,1.4299876084262702,0.0,127.0,0.0,0.0,0.0,0.0,3942.0,4.884758364312268,0.0,367.0
"Dallas/Fort Worth, TX -> Stillwater, OK",6730.0,7.656427758816838,0.0,741.0,569.0,0.6473265073947668,0.0,142.0,2141.0,2.4357224118316267,0.0,468.0,1380.0,1.5699658703071673,0.0,157.0,0.0,0.0,0.0,0.0,2640.0,3.0034129692832763,0.0,718.0
"Colorado Springs, CO -> Phoenix, AZ",6722.0,17.596858638743456,0.0,593.0,181.0,0.4738219895287958,0.0,47.0,934.0,2.445026178010471,0.0,134.0,1567.0,4.102094240837697,0.0,112.0,0.0,0.0,0.0,0.0,4040.0,10.575916230366492,0.0,573.0
"Washington, DC -> Richmond, VA",6718.0,13.823045267489713,0.0,768.0,202.0,0.4156378600823045,0.0,76.0,3462.0,7.1234567901234565,0.0,623.0,276.0,0.5679012345679012,0.0,46.0,0.0,0.0,0.0,0.0,2778.0,5.716049382716049,0.0,768.0
"Pocatello, ID -> Salt Lake City, UT",6717.0,6.162385321100918,0.0,228.0,472.0,0.43302752293577984,0.0,153.0,1010.0,0.926605504587156,0.0,157.0,596.0,0.5467889908256881,0.0,35.0,0.0,0.0,0.0,0.0,4639.0,4.255963302752294,0.0,228.0
"Miami, FL -> Knoxville, TN",6712.0,9.194520547945206,0.0,272.0,487.0,0.6671232876712329,0.0,100.0,1134.0,1.5534246575342465,0.0,138.0,1936.0,2.652054794520548,0.0,218.0,0.0,0.0,0.0,0.0,3155.0,4.321917808219178,0.0,272.0
"Atlanta, GA -> Providence, RI",6712.0,6.599803343166175,0.0,549.0,535.0,0.5260570304818093,0.0,389.0,3931.0,3.865290068829892,0.0,549.0,1094.0,1.0757128810226155,0.0,310.0,15.0,0.014749262536873156,0.0,15.0,1137.0,1.1179941002949854,0.0,144.0
"Denver, CO -> Montrose/Delta, CO",6703.0,14.540130151843817,0.0,489.0,362.0,0.7852494577006508,0.0,122.0,2142.0,4.646420824295011,0.0,358.0,1150.0,2.4945770065075923,0.0,103.0,0.0,0.0,0.0,0.0,3049.0,6.613882863340564,0.0,306.0
"Martha's Vineyard, MA -> New York, NY",6702.0,19.25862068965517,0.0,386.0,294.0,0.8448275862068966,0.0,191.0,1268.0,3.6436781609195403,0.0,293.0,1621.0,4.658045977011494,0.0,334.0,56.0,0.16091954022988506,0.0,56.0,3463.0,9.951149425287356,0.0,375.0
"Denver, CO -> Greer, SC",6701.0,18.562326869806093,0.0,389.0,323.0,0.8947368421052632,0.0,67.0,1295.0,3.587257617728532,0.0,389.0,2411.0,6.678670360110804,0.0,109.0,0.0,0.0,0.0,0.0,2672.0,7.401662049861496,0.0,307.0
"Marquette, MI -> Minneapolis, MN",6694.0,18.339726027397262,0.0,748.0,2819.0,7.723287671232876,0.0,710.0,3483.0,9.542465753424658,0.0,628.0,371.0,1.0164383561643835,0.0,45.0,0.0,0.0,0.0,0.0,21.0,0.057534246575342465,0.0,18.0
"Tampa, FL -> Cleveland, OH",6690.0,8.733681462140993,0.0,280.0,152.0,0.19843342036553524,0.0,90.0,2201.0,2.873368146214099,0.0,164.0,1565.0,2.0430809399477807,0.0,110.0,0.0,0.0,0.0,0.0,2772.0,3.618798955613577,0.0,265.0
"Tucson, AZ -> Seattle, WA",6682.0,9.826470588235294,0.0,963.0,874.0,1.285294117647059,0.0,489.0,2259.0,3.322058823529412,0.0,963.0,1498.0,2.2029411764705884,0.0,144.0,0.0,0.0,0.0,0.0,2051.0,3.0161764705882352,0.0,365.0
"Fresno, CA -> Las Vegas, NV",6666.0,11.24114671163575,0.0,336.0,152.0,0.2563237774030354,0.0,54.0,2288.0,3.8583473861720066,0.0,335.0,945.0,1.5935919055649241,0.0,123.0,0.0,0.0,0.0,0.0,3281.0,5.532883642495785,0.0,169.0
"El Paso, TX -> Los Angeles, CA",6657.0,9.455965909090908,0.0,474.0,49.0,0.06960227272727272,0.0,49.0,1840.0,2.6136363636363638,0.0,315.0,1249.0,1.7741477272727273,0.0,474.0,0.0,0.0,0.0,0.0,3519.0,4.998579545454546,0.0,281.0
"Nashville, TN -> San Diego, CA",6655.0,9.644927536231885,0.0,317.0,136.0,0.19710144927536233,0.0,89.0,2207.0,3.198550724637681,0.0,317.0,1437.0,2.082608695652174,0.0,48.0,20.0,0.028985507246376812,0.0,20.0,2855.0,4.13768115942029,0.0,190.0
"Phoenix, AZ -> Sioux Falls, SD",6649.0,10.758899676375405,0.0,233.0,97.0,0.156957928802589,0.0,40.0,2446.0,3.957928802588997,0.0,137.0,848.0,1.372168284789644,0.0,124.0,0.0,0.0,0.0,0.0,3258.0,5.271844660194175,0.0,230.0
"Raleigh/Durham, NC -> New Orleans, LA",6645.0,15.102272727272727,0.0,539.0,408.0,0.9272727272727272,0.0,223.0,2222.0,5.05,0.0,442.0,1030.0,2.340909090909091,0.0,105.0,34.0,0.07727272727272727,0.0,34.0,2951.0,6.706818181818182,0.0,491.0
"Knoxville, TN -> Fort Lauderdale, FL",6637.0,22.04983388704319,0.0,1217.0,137.0,0.45514950166112955,0.0,64.0,3197.0,10.621262458471762,0.0,1209.0,1856.0,6.166112956810632,0.0,312.0,0.0,0.0,0.0,0.0,1447.0,4.807308970099668,0.0,190.0
"Dallas/Fort Worth, TX -> Lexington, KY",6634.0,6.961175236096537,0.0,265.0,601.0,0.6306400839454355,0.0,111.0,1555.0,1.6316894018887722,0.0,130.0,1217.0,1.2770199370409234,0.0,72.0,0.0,0.0,0.0,0.0,3261.0,3.421825813221406,0.0,178.0
"Houston, TX -> Boise, ID",6626.0,18.153424657534245,0.0,1000.0,586.0,1.6054794520547946,0.0,132.0,3628.0,9.93972602739726,0.0,1000.0,733.0,2.0082191780821916,0.0,81.0,0.0,0.0,0.0,0.0,1679.0,4.6,0.0,202.0
