ROUTE_BETWEEN_CITIES,SUM_OF_ALL_DELAYS,AVERAGE_OF_ALL_DELAYS,SUM_OF_WEATHER_DELAY,AVERAGE_OF_WEATHER_DELAY,SUM_OF_CARRIER_DELAY,AVERAGE_OF_CARRIER_DELAY,SUM_OF_NAS_DELAY,AVERAGE_OF_NAS_DELAY,SUM_OF_SECURITY_DELAY,AVERAGE_OF_SECURITY_DELAY,SUM_OF_LATE_AIRCRAFT_DELAY,AVERAGE_OF_LATE_AIRCRAFT_DELAY
"Wilmington, NC->Dallas/Fort Worth, TX",594.0,19.8,0.0,0.0,558.0,18.6,36.0,1.2,0.0,0.0,0.0,0.0
"Denver, CO->Wichita, KS",594.0,11.423076923076923,0.0,0.0,201.0,3.8653846153846154,18.0,0.34615384615384615,0.0,0.0,375.0,7.211538461538462
"Las Vegas, NV->Fort Lauderdale, FL",594.0,6.456521739130435,0.0,0.0,267.0,2.902173913043478,69.0,0.75,0.0,0.0,258.0,2.8043478260869565
"Las Vegas, NV->Milwaukee, WI",593.0,5.98989898989899,0.0,0.0,376.0,3.797979797979798,113.0,1.1414141414141414,0.0,0.0,104.0,1.0505050505050506
"Laredo, TX->Las Vegas, NV",592.0,65.77777777777777,0.0,0.0,537.0,59.666666666666664,50.0,5.555555555555555,0.0,0.0,5.0,0.5555555555555556
"Fort Lauderdale, FL->Kansas City, MO",592.0,8.222222222222221,0.0,0.0,252.0,3.5,23.0,0.3194444444444444,0.0,0.0,317.0,4.402777777777778
"Chicago, IL->Manchester, NH",592.0,9.866666666666667,58.0,0.9666666666666667,260.0,4.333333333333333,136.0,2.2666666666666666,0.0,0.0,138.0,2.3
"Baltimore, MD->Las Vegas, NV",591.0,4.345588235294118,60.0,0.4411764705882353,280.0,2.0588235294117645,106.0,0.7794117647058824,0.0,0.0,145.0,1.0661764705882353
"Denver, CO->Kahului, HI",590.0,17.352941176470587,0.0,0.0,496.0,14.588235294117647,94.0,2.764705882352941,0.0,0.0,0.0,0.0
"Dallas/Fort Worth, TX->Chattanooga, TN",589.0,8.924242424242424,23.0,0.3484848484848485,147.0,2.227272727272727,172.0,2.606060606060606,0.0,0.0,247.0,3.742424242424242
"Milwaukee, WI->Tampa, FL",589.0,11.326923076923077,27.0,0.5192307692307693,29.0,0.5576923076923077,271.0,5.211538461538462,0.0,0.0,262.0,5.038461538461538
"Chicago, IL->Staunton, VA",589.0,21.814814814814813,0.0,0.0,183.0,6.777777777777778,23.0,0.8518518518518519,0.0,0.0,383.0,14.185185185185185
"Dallas/Fort Worth, TX->Tyler, TX",589.0,5.077586206896552,143.0,1.2327586206896552,176.0,1.5172413793103448,103.0,0.8879310344827587,0.0,0.0,167.0,1.4396551724137931
"Bismarck/Mandan, ND->Phoenix, AZ",588.0,24.5,30.0,1.25,0.0,0.0,95.0,3.9583333333333335,29.0,1.2083333333333333,434.0,18.083333333333332
"Tampa, FL->Grand Rapids, MI",587.0,34.529411764705884,73.0,4.294117647058823,243.0,14.294117647058824,223.0,13.117647058823529,0.0,0.0,48.0,2.823529411764706
"Milwaukee, WI->Seattle, WA",586.0,9.451612903225806,319.0,5.145161290322581,175.0,2.8225806451612905,92.0,1.4838709677419355,0.0,0.0,0.0,0.0
"Albany, NY->Punta Gorda, FL",586.0,45.07692307692308,0.0,0.0,499.0,38.38461538461539,78.0,6.0,0.0,0.0,9.0,0.6923076923076923
"Jacksonville, FL->Nashville, TN",586.0,9.15625,0.0,0.0,32.0,0.5,29.0,0.453125,0.0,0.0,525.0,8.203125
