ROUTE_PATH,YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_NM,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_NM,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,DISTANCE,DISTANCE_GROUP,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,_c45,ORIGIN_LATITUDE,ORIGIN_LONGITUDE,ORIGIN_UTC_LOCAL_TIME_VARIATION,DEST_LATITUDE,DEST_LONGITUDE,DEST_UTC_LOCAL_TIME_VARIATION,WHEELS_OFF_UTC_DATETIME,WHEELS_ON_UTC_DATETIME,ENTRY_LONGITUDE,ENTRY_LATITUDE,EXIT_LONGITUDE,EXIT_LATITUDE,ENTRY_TIME,EXIT_TIME,IS_IN_AREA
1104205->1105703,2019,1,3,8,5,2019-03-08T00:00:00.000Z,AA,19805,N712US,1699,11042,1104205,CLE,"Cleveland, OH",OH,Ohio,11057,1105703,CLT,"Charlotte, NC",NC,North Carolina,1015,1008,-7.0,11.0,1019,1127,12.0,1156,1139,-17.0,0.0,"",0.0,101.0,91.0,68.0,430.0,2,"","","","","","",41.40944444,-81.85472222,-500,35.21361111,-80.94916667,-500,2019-03-08T15:19:00.000Z,2019-03-08T16:27:00.000Z,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1105703->1478302,2019,1,3,8,5,2019-03-08T00:00:00.000Z,MQ,20398,N854AE,3869,11057,1105703,CLT,"Charlotte, NC",NC,North Carolina,14783,1478302,SGF,"Springfield, MO",MO,Missouri,855,852,-3.0,12.0,904,1009,3.0,1013,1012,-1.0,0.0,"",0.0,138.0,140.0,125.0,708.0,3,"","","","","","",35.21361111,-80.94916667,-500,37.24555556,-93.38861111,-600,2019-03-08T14:04:00.000Z,2019-03-08T16:09:00.000Z,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1129806->1490803,2019,1,3,8,5,2019-03-08T00:00:00.000Z,AA,19805,N355PU,2255,11298,1129806,DFW,"Dallas/Fort Worth, TX",TX,Texas,14908,1490803,SNA,"Santa Ana, CA",CA,California,655,651,-4.0,18.0,709,808,8.0,812,816,4.0,0.0,"",0.0,197.0,205.0,179.0,1205.0,5,"","","","","","",32.89722222,-97.03777778,-600,33.67555556,-117.86833333,-800,2019-03-08T13:09:00.000Z,2019-03-08T16:08:00.000Z,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1129806->1490803,2019,1,3,8,5,2019-03-08T00:00:00.000Z,AA,19805,N355PU,2255,11298,1129806,DFW,"Dallas/Fort Worth, TX",TX,Texas,14908,1490803,SNA,"Santa Ana, CA",CA,California,655,651,-4.0,18.0,709,808,8.0,812,816,4.0,0.0,"",0.0,197.0,205.0,179.0,1205.0,5,"","","","","","",32.89722222,-97.03777778,-600,33.67555556,-117.86833333,-800,2019-03-08T13:09:00.000Z,2019-03-08T16:08:00.000Z,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1129806->1490803,2019,1,3,8,5,2019-03-08T00:00:00.000Z,AA,19805,N355PU,2255,11298,1129806,DFW,"Dallas/Fort Worth, TX",TX,Texas,14908,1490803,SNA,"Santa Ana, CA",CA,California,655,651,-4.0,18.0,709,808,8.0,812,816,4.0,0.0,"",0.0,197.0,205.0,179.0,1205.0,5,"","","","","","",32.89722222,-97.03777778,-600,33.67555556,-117.86833333,-800,2019-03-08T13:09:00.000Z,2019-03-08T16:08:00.000Z,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1129806->1490803,2019,1,3,8,5,2019-03-08T00:00:00.000Z,AA,19805,N967NN,2613,11298,1129806,DFW,"Dallas/Fort Worth, TX",TX,Texas,14908,1490803,SNA,"Santa Ana, CA",CA,California,930,927,-3.0,19.0,946,1051,5.0,1053,1056,3.0,0.0,"",0.0,203.0,209.0,185.0,1205.0,5,"","","","","","",32.89722222,-97.03777778,-600,33.67555556,-117.86833333,-800,2019-03-08T15:46:00.000Z,2019-03-08T18:51:00.000Z,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1129806->1490803,2019,1,3,8,5,2019-03-08T00:00:00.000Z,AA,19805,N967NN,2613,11298,1129806,DFW,"Dallas/Fort Worth, TX",TX,Texas,14908,1490803,SNA,"Santa Ana, CA",CA,California,930,927,-3.0,19.0,946,1051,5.0,1053,1056,3.0,0.0,"",0.0,203.0,209.0,185.0,1205.0,5,"","","","","","",32.89722222,-97.03777778,-600,33.67555556,-117.86833333,-800,2019-03-08T15:46:00.000Z,2019-03-08T18:51:00.000Z,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1129806->1490803,2019,1,3,8,5,2019-03-08T00:00:00.000Z,AA,19805,N967NN,2613,11298,1129806,DFW,"Dallas/Fort Worth, TX",TX,Texas,14908,1490803,SNA,"Santa Ana, CA",CA,California,930,927,-3.0,19.0,946,1051,5.0,1053,1056,3.0,0.0,"",0.0,203.0,209.0,185.0,1205.0,5,"","","","","","",32.89722222,-97.03777778,-600,33.67555556,-117.86833333,-800,2019-03-08T15:46:00.000Z,2019-03-08T18:51:00.000Z,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1129806->1490803,2019,1,3,8,5,2019-03-08T00:00:00.000Z,AA,19805,N945NN,2402,11298,1129806,DFW,"Dallas/Fort Worth, TX",TX,Texas,14908,1490803,SNA,"Santa Ana, CA",CA,California,845,843,-2.0,12.0,855,956,5.0,1010,1001,-9.0,0.0,"",0.0,205.0,198.0,181.0,1205.0,5,"","","","","","",32.89722222,-97.03777778,-600,33.67555556,-117.86833333,-800,2019-03-08T14:55:00.000Z,2019-03-08T17:56:00.000Z,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1129806->1490803,2019,1,3,8,5,2019-03-08T00:00:00.000Z,AA,19805,N945NN,2402,11298,1129806,DFW,"Dallas/Fort Worth, TX",TX,Texas,14908,1490803,SNA,"Santa Ana, CA",CA,California,845,843,-2.0,12.0,855,956,5.0,1010,1001,-9.0,0.0,"",0.0,205.0,198.0,181.0,1205.0,5,"","","","","","",32.89722222,-97.03777778,-600,33.67555556,-117.86833333,-800,2019-03-08T14:55:00.000Z,2019-03-08T17:56:00.000Z,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1129806->1490803,2019,1,3,8,5,2019-03-08T00:00:00.000Z,AA,19805,N945NN,2402,11298,1129806,DFW,"Dallas/Fort Worth, TX",TX,Texas,14908,1490803,SNA,"Santa Ana, CA",CA,California,845,843,-2.0,12.0,855,956,5.0,1010,1001,-9.0,0.0,"",0.0,205.0,198.0,181.0,1205.0,5,"","","","","","",32.89722222,-97.03777778,-600,33.67555556,-117.86833333,-800,2019-03-08T14:55:00.000Z,2019-03-08T17:56:00.000Z,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1143302->1323002,2019,1,3,8,5,2019-03-08T00:00:00.000Z,9E,20363,N8918B,5043,11433,1143302,DTW,"Detroit, MI",MI,Michigan,13230,1323002,MDT,"Harrisburg, PA",PA,Pennsylvania,955,950,-5.0,20.0,1010,1103,3.0,1117,1106,-11.0,0.0,"",0.0,82.0,76.0,53.0,371.0,2,"","","","","","",42.2125,-83.35333333,-500,40.19305556,-76.7625,-500,2019-03-08T15:10:00.000Z,2019-03-08T16:03:00.000Z,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
