ROUTE_PATH,ENTRY_LONGITUDE,ENTRY_LATITUDE,EXIT_LONGITUDE,EXIT_LATITUDE,ENTRY_TIME,EXIT_TIME,IS_IN_AREA
1393102->1082106,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1410005->1226603,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1410005->1226603,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1476106->1025702,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1498603->1039707,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1501606->1410005,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1039707->1125903,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1039707->1161206,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1105703->1530402,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1289208->1457002,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1323202->1129202,-104.67305556,39.86166667,-104.67305556,39.86166667,0.0,0.0,INSIDE
1323202->1129202,-104.67305556,39.86166667,-104.67305556,39.86166667,0.0,0.0,INSIDE
1410005->1052906,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1474703->1039707,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1474703->1039707,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1501606->1104205,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1072102->1226603,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1188402->1393007,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1226603->1110902,-104.70083333,38.80583333,-104.70083333,38.80583333,0.0,0.0,INSIDE
1288903->1467903,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1288903->1467903,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1323202->1042302,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1348702->1163703,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1393007->1119302,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1474703->1483106,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1474703->1483106,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1530402->1072102,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1530402->1072102,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1039707->1129202,-104.67305556,39.86166667,-104.67305556,39.86166667,0.0,0.0,INSIDE
1039707->1129202,-104.67305556,39.86166667,-104.67305556,39.86166667,0.0,0.0,INSIDE
1072102->1219102,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1079206->1226402,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1127805->1226603,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1129202->1410702,-104.67305556,39.86166667,-104.67305556,39.86166667,0.0,0.0,INSIDE
1129202->1410702,-104.67305556,39.86166667,-104.67305556,39.86166667,0.0,0.0,INSIDE
1129202->1410702,-104.67305556,39.86166667,-104.67305556,39.86166667,0.0,0.0,INSIDE
1161802->1473003,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1320402->1334207,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1349505->1226603,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1349505->1226603,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1405702->1320402,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1457606->1295304,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1463502->1129202,-104.67305556,39.86166667,-104.67305556,39.86166667,0.0,0.0,INSIDE
1530402->1161802,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1530402->1161802,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1025702->1393007,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1042302->1410005,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1119302->1289208,-102.10868478151576,37.71262463801559,-102.10868478151576,37.71262463801559,0.0,0.0,INSIDE
1119302->1289208,-102.10868478151576,37.71262463801559,-102.10868478151576,37.71262463801559,0.0,0.0,INSIDE
