TAIL_NUM,SUM_OF_ALL_DELAYS,AVERAGE_OF_ALL_DELAYS,SUM_OF_WEATHER_DELAY,AVERAGE_OF_WEATHER_DELAY,SUM_OF_CARRIER_DELAY,AVERAGE_OF_CARRIER_DELAY,SUM_OF_NAS_DELAY,AVERAGE_OF_NAS_DELAY,SUM_OF_SECURITY_DELAY,AVERAGE_OF_SECURITY_DELAY,SUM_OF_LATE_AIRCRAFT_DELAY,AVERAGE_OF_LATE_AIRCRAFT_DELAY
N68843,173.0,2.3066666666666666,0.0,0.0,70.0,0.9333333333333333,103.0,1.3733333333333333,0.0,0.0,0.0,0.0
N128SY,172.0,7.818181818181818,1.0,0.045454545454545456,48.0,2.1818181818181817,89.0,4.045454545454546,0.0,0.0,34.0,1.5454545454545454
N506AS,172.0,2.2051282051282053,0.0,0.0,57.0,0.7307692307692307,100.0,1.2820512820512822,0.0,0.0,15.0,0.19230769230769232
N924EV,172.0,4.095238095238095,0.0,0.0,59.0,1.4047619047619047,79.0,1.880952380952381,0.0,0.0,34.0,0.8095238095238095
N389DA,172.0,1.9770114942528736,22.0,0.25287356321839083,64.0,0.735632183908046,82.0,0.9425287356321839,0.0,0.0,4.0,0.04597701149425287
N105SY,171.0,3.5625,36.0,0.75,19.0,0.3958333333333333,58.0,1.2083333333333333,13.0,0.2708333333333333,45.0,0.9375
N911DQ,170.0,3.090909090909091,10.0,0.18181818181818182,19.0,0.34545454545454546,123.0,2.2363636363636363,0.0,0.0,18.0,0.32727272727272727
N835DN,169.0,1.8369565217391304,0.0,0.0,92.0,1.0,67.0,0.7282608695652174,0.0,0.0,10.0,0.10869565217391304
N570AS,168.0,2.1538461538461537,0.0,0.0,93.0,1.1923076923076923,75.0,0.9615384615384616,0.0,0.0,0.0,0.0
N817DN,168.0,1.8064516129032258,0.0,0.0,72.0,0.7741935483870968,81.0,0.8709677419354839,0.0,0.0,15.0,0.16129032258064516
N750AN,167.0,15.181818181818182,0.0,0.0,48.0,4.363636363636363,31.0,2.8181818181818183,0.0,0.0,88.0,8.0
N8869B,166.0,4.15,0.0,0.0,83.0,2.075,8.0,0.2,0.0,0.0,75.0,1.875
N27511,166.0,6.148148148148148,0.0,0.0,0.0,0.0,166.0,6.148148148148148,0.0,0.0,0.0,0.0
N289AY,164.0,5.125,0.0,0.0,45.0,1.40625,119.0,3.71875,0.0,0.0,0.0,0.0
N325DN,162.0,1.4464285714285714,0.0,0.0,55.0,0.49107142857142855,88.0,0.7857142857142857,0.0,0.0,19.0,0.16964285714285715
N220UA,162.0,23.142857142857142,0.0,0.0,0.0,0.0,146.0,20.857142857142858,0.0,0.0,16.0,2.2857142857142856
N278AY,161.0,6.1923076923076925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,6.1923076923076925
N122US,161.0,23.0,0.0,0.0,57.0,8.142857142857142,0.0,0.0,0.0,0.0,104.0,14.857142857142858
N794UA,161.0,13.416666666666666,0.0,0.0,82.0,6.833333333333333,52.0,4.333333333333333,0.0,0.0,27.0,2.25
N198UW,160.0,4.0,4.0,0.1,54.0,1.35,53.0,1.325,0.0,0.0,49.0,1.225
330NV,160.0,2.7586206896551726,0.0,0.0,1.0,0.017241379310344827,86.0,1.4827586206896552,0.0,0.0,73.0,1.2586206896551724
N8558Z,160.0,1.1851851851851851,0.0,0.0,71.0,0.5259259259259259,45.0,0.3333333333333333,0.0,0.0,44.0,0.32592592592592595
